image_stem,class_id,class_name,size_bin,area_ref_px2,touches_boundary,bbox_xywhn,best_prediction_class,best_prediction_confidence,best_prediction_iou
000051,0,person,tiny,97.77799288857598,False,"[0.0265625, 0.384259, 0.0104167, 0.0407407]",person,0.00453646,0.3264878411113691
shuming_503_00000052,7,ball,tiny,23.3333626666752,False,"[0.789063, 0.450463, 0.00729167, 0.0138889]",light,0.00460657,0.30996396635001366
003980,0,person,tiny,23.111076622233597,False,"[0.561198, 0.261111, 0.00677083, 0.0148148]",person,0.00466048,0.05690182882108984
003996,3,seat,tiny,137.77753955558399,False,"[0.275521, 0.466204, 0.0208333, 0.0287037]",person,0.00467857,0.36775931194404726
000012_019_00000151,0,person,tiny,195.889121777664,False,"[0.298177, 0.318981, 0.0213542, 0.0398148]",animal,0.00474124,0.19159264184140037
000050,0,person,tiny,41.8889433777408,False,"[0.372656, 0.318056, 0.00677083, 0.0268519]",bicycle,0.00484056,0.16003243306685574
000336,9,garbage can,tiny,222.22188444441593,False,"[0.25625, 0.692593, 0.0208333, 0.0462963]",garbage can,0.00491758,0.7770495576137147
hehe_191_000002_029_00000143,0,person,tiny,152.88877084446716,False,"[0.793229, 0.336111, 0.00833333, 0.0796296]",garbage can,0.00497439,0.22378101414329643
002457,5,bicycle,tiny,214.66621333324798,False,"[0.559375, 0.5875, 0.0145833, 0.0638889]",car,0.00501416,0.6776381125682085
002663,4,sign,tiny,30.666721333248,False,"[0.552865, 0.476852, 0.0119792, 0.0111111]",sign,0.00507015,0.11690017711572695
003974,0,person,tiny,241.667045332992,False,"[0.913281, 0.465278, 0.0151042, 0.0694444]",person,0.00513441,0.5793006261620919
001295,2,animal,tiny,73.33367466700798,False,"[0.394792, 0.541204, 0.0104167, 0.0305556]",animal,0.00536116,0.3430068999347926
003265,2,animal,tiny,50.6665989333504,False,"[0.459115, 0.457407, 0.00989583, 0.0222222]",person,0.00537426,0.09585292199595656
003679,0,person,tiny,93.33324,False,"[0.373177, 0.394444, 0.0109375, 0.037037]",animal,0.00548371,0.3334039022098454
003090,0,person,tiny,92.444728889088,False,"[0.739583, 0.699074, 0.0166667, 0.0240741]",light,0.00553629,0.6899204167148807
hehe_39_00000020,6,car,tiny,249.33281866675202,True,"[0.00885417, 0.525, 0.0177083, 0.0611111]",car,0.00559031,0.8973284014117773
003265,3,seat,tiny,224.00006399999998,False,"[0.707292, 0.540741, 0.025, 0.0388889]",seat,0.00562432,0.09789774412495372
shuming_746_00000017,8,light,tiny,95.00003999999998,False,"[0.60651, 0.335648, 0.0078125, 0.0527778]",light,0.00568382,0.45394686152373476
002725,0,person,tiny,131.999868,False,"[0.429427, 0.581481, 0.0140625, 0.0407407]",person,0.00570737,0.5743665417157893
002457,5,bicycle,tiny,216.999428000256,False,"[0.511719, 0.591204, 0.0161458, 0.0583333]",person,0.0060449,0.5325516828408781
hehe_244_000002_047_00000062,4,sign,tiny,61.2223113777408,False,"[0.24974, 0.469907, 0.00989583, 0.0268519]",light,0.00605108,0.009409604914293039
000020_011_00000076,0,person,tiny,223.66673999999995,False,"[0.923698, 0.373611, 0.0171875, 0.0564815]",person,0.0060665,0.48445655189386216
002693,0,person,tiny,42.7777928888832,False,"[0.323698, 0.486574, 0.00572917, 0.0324074]",person,0.00612951,0.23790789480588917
shuming_746_00000017,1,boat,tiny,221.66675999999998,False,"[0.49401, 0.433796, 0.0546875, 0.0175926]",boat,0.00617318,0.25388837327034713
001295,2,animal,tiny,61.2223113777408,False,"[0.373177, 0.543981, 0.00989583, 0.0268519]",animal,0.00619108,0.4747947313338468
002693,4,sign,tiny,55.999944,False,"[0.659635, 0.442593, 0.0109375, 0.0222222]",light,0.00621346,0.41827509590707124
003958,0,person,tiny,42.666606933350394,False,"[0.150521, 0.112963, 0.00833333, 0.0222222]",person,0.00636149,0.4635627041788398
hehe_81_00000050,9,garbage can,tiny,49.111182488908796,False,"[0.442448, 0.643519, 0.00885417, 0.0240741]",car,0.00640707,0.1331796041392446
hehe_81_00000050,9,garbage can,tiny,52.8888559110912,False,"[0.451302, 0.644444, 0.00885417, 0.0259259]",car,0.00640707,0.1682880422966789
hehe_81_00000050,9,garbage can,tiny,47.2221417777408,False,"[0.460677, 0.644907, 0.00885417, 0.0231481]",car,0.00640707,0.1502570183441171
003739,2,animal,tiny,191.99980800000003,False,"[0.547396, 0.350926, 0.01875, 0.0444444]",animal,0.00641714,0.6149376287458587
002457,6,car,tiny,74.11128755558398,False,"[0.58776, 0.564352, 0.0151042, 0.0212963]",car,0.00645569,0.7472341188875251
003265,2,animal,tiny,44.333352,False,"[0.404948, 0.451389, 0.0109375, 0.0175926]",person,0.00648616,0.06804547836081294
003265,2,animal,tiny,63.888736444416,False,"[0.416406, 0.453241, 0.0130208, 0.0212963]",person,0.00648616,0.098060251190305
003265,2,animal,tiny,28.33326,False,"[0.428385, 0.454167, 0.0078125, 0.0157407]",person,0.00648616,0.04348758086736347
shuming_63_00000393,8,light,tiny,255.66652799999997,False,"[0.852344, 0.0597222, 0.0203125, 0.0546296]",light,0.00666854,0.4092979150020476
003974,0,person,tiny,55.999969599974406,False,"[0.2, 0.328704, 0.00729167, 0.0333333]",person,0.00670868,0.3193721796550058
000004_018_00000341,0,person,tiny,51.66665999999999,False,"[0.613802, 0.133796, 0.0078125, 0.0287037]",person,0.00677052,0.3888969961166714
003958,8,light,tiny,213.333408,False,"[0.467187, 0.110185, 0.0125, 0.0740741]",person,0.00686538,0.17910686972201464
000004_018_00000341,8,light,tiny,144.44393022259197,False,"[0.333073, 0.114815, 0.0130208, 0.0481481]",light,0.00702732,0.5459214175953889
000014_047_00000139,0,person,tiny,94.4444875555584,False,"[0.770052, 0.591667, 0.00885417, 0.0462963]",car,0.00716166,0.4130131084281199
003645,0,person,tiny,160.8954803712,False,"[0.182599, 0.228475, 0.015377, 0.045414]",person,0.00717112,0.5316358348118351
003299,2,animal,tiny,57.55562044416,False,"[0.214323, 0.0361111, 0.0192708, 0.012963]",animal,0.00721376,0.583156465148429
003958,0,person,tiny,20.777736088857594,False,"[0.486719, 0.133796, 0.00572917, 0.0157407]",person,0.00745582,0.14593655726449986
003056,0,person,tiny,202.666805332992,False,"[0.167708, 0.180556, 0.0197917, 0.0444444]",person,0.00754105,0.5684393133386689
003265,2,animal,tiny,33.33346666675199,False,"[0.509375, 0.41713, 0.0104167, 0.0138889]",animal,0.00755583,0.5296206447458949
shuming_503_00000052,6,car,tiny,116.00010399974397,False,"[0.553125, 0.377778, 0.0302083, 0.0166667]",car,0.00788065,0.41205952631144543
shuming_342_00000275,0,person,tiny,125.33328,False,"[0.301562, 0.666204, 0.0125, 0.0435185]",person,0.00794763,0.4654873404509698
003265,2,animal,tiny,31.111094222208,False,"[0.481771, 0.412037, 0.00729167, 0.0185185]",animal,0.00807479,0.2596473388414854
000012_025_00000313,2,animal,tiny,117.11093822208001,False,"[0.51224, 0.311111, 0.0161458, 0.0314815]",uav,0.00819806,0.6965790367849007
000040,0,person,tiny,146.666357332992,False,"[0.482812, 0.390741, 0.0114583, 0.0555556]",bicycle,0.00836293,0.5214503334197785
002955,6,car,tiny,65.44441395555839,False,"[0.190885, 0.891204, 0.00989583, 0.0287037]",bicycle,0.00874483,0.5450412232485597
001039,4,sign,tiny,177.66683999999998,False,"[0.67526, 0.656944, 0.0203125, 0.037963]",sign,0.00897534,0.866740350065459
003393,0,person,tiny,112.77818622259201,False,"[0.189323, 0.393056, 0.0182292, 0.0268519]",garbage can,0.00903471,0.20147750458016103
shuming_1079_00000233,0,person,tiny,225.55600177766397,False,"[0.278906, 0.272222, 0.0151042, 0.0648148]",animal,0.00915528,0.794830069590697
shuming_683_00000020,0,person,tiny,128.00012799974402,False,"[0.672917, 0.412037, 0.0166667, 0.0333333]",person,0.00916003,0.3749588306640738
shuming_396_00000045,7,ball,tiny,102.666581332992,False,"[0.291667, 0.648611, 0.0145833, 0.0305556]",person,0.00921889,0.0666388072614087
003980,0,person,tiny,62.11105742223359,False,"[0.56901, 0.293056, 0.00677083, 0.0398148]",person,0.00925601,0.4923143342248492
001306,2,animal,tiny,253.22243377766395,False,"[0.446094, 0.522685, 0.0276042, 0.0398148]",animal,0.00953401,0.551810910455302
002693,4,sign,tiny,39.99996,False,"[0.711979, 0.451852, 0.015625, 0.0111111]",sign,0.00954494,0.5036060681865336
002842,0,person,tiny,251.99985599999997,False,"[0.427604, 0.173611, 0.01875, 0.0583333]",person,0.00963206,0.5520648891635271
shuming_746_00000017,1,boat,tiny,59.999939999999995,False,"[0.600781, 0.446296, 0.0234375, 0.0111111]",person,0.00963899,0.40698483196871815
hehe_178_000002_025_00000079,0,person,tiny,210.11074622207997,False,"[0.546615, 0.509722, 0.0161458, 0.0564815]",car,0.0100619,0.6618321428630887
003265,3,seat,tiny,104.44448222208001,False,"[0.320573, 0.437037, 0.0244792, 0.0185185]",seat,0.0101126,0.11455775181785256
000012_019_00000076,2,animal,tiny,233.33394666700798,False,"[0.519531, 0.167593, 0.0182292, 0.0555556]",animal,0.0103643,0.7992421133153231
003133,0,person,tiny,78.00008399999999,False,"[0.0940104, 0.843518, 0.0140625, 0.0240741]",garbage can,0.0105089,0.2627802293033869
000051,0,person,tiny,231.11176088908803,False,"[0.952083, 0.212963, 0.0135417, 0.0740741]",person,0.0105231,0.11499002290522434
003421,6,car,tiny,172.05717565439994,False,"[0.466944, 0.332318, 0.028992, 0.025758]",garbage can,0.0105729,0.23969837945941222
shuming_503_00000052,0,person,tiny,109.77809422233601,False,"[0.377083, 0.405556, 0.0135417, 0.0351852]",person,0.0107121,0.6784682685618554
hehe_6_00000054,7,ball,tiny,164.444376888576,False,"[0.141146, 0.685648, 0.0208333, 0.0342593]",person,0.011251,0.22964797464548806
hehe_223_000002_041_00000148,8,light,tiny,202.22180977766396,False,"[0.290104, 0.518981, 0.0145833, 0.0601852]",sign,0.0112798,0.45276021139734157
003265,2,animal,tiny,90.000072,False,"[0.510156, 0.449074, 0.0140625, 0.0277778]",animal,0.0112979,0.2864877282612961
002962,6,car,tiny,36.666589333248,False,"[0.439063, 0.633796, 0.0114583, 0.0138889]",bicycle,0.0114161,0.14576134161646023
shuming_747_00000093,0,person,tiny,72.0,False,"[0.89375, 0.386574, 0.0125, 0.025]",animal,0.011513,0.7218971740679815
shuming_746_00000017,8,light,tiny,139.77779262220798,True,"[0.989323, 0.403704, 0.00885417, 0.0685185]",light,0.0121878,0.5011773515013106
003958,0,person,tiny,48.889116444671984,False,"[0.934375, 0.112037, 0.0104167, 0.0203704]",person,0.012312,0.6316769722533705
shuming_747_00000093,0,person,tiny,96.66695733350397,False,"[0.74349, 0.362037, 0.0151042, 0.0277778]",animal,0.0123219,0.6361745698921616
hehe_244_000002_047_00000062,4,sign,tiny,203.00036400000002,False,"[0.329427, 0.628241, 0.0328125, 0.0268519]",sign,0.0123232,0.578423262693527
hehe_296_000002_074_00000001,6,car,tiny,95.00003999999998,False,"[0.0622396, 0.653241, 0.0234375, 0.0175926]",person,0.0124383,0.5556210711970244
hehe_290_000002_071_00000051,9,garbage can,tiny,67.55546524446719,False,"[0.0382813, 0.697222, 0.00989583, 0.0296296]",car,0.0125491,0.3310447739065146
000190,0,person,tiny,143.999856,False,"[0.333594, 0.65, 0.0140625, 0.0444444]",person,0.0127111,0.6490719865326182
000006_005_00000393,2,animal,tiny,200.66659199999998,False,"[0.929688, 0.443981, 0.021875, 0.0398148]",animal,0.0128043,0.6112869070053035
hehe_290_000002_071_00000051,9,garbage can,tiny,54.7778966222592,False,"[0.0481771, 0.696759, 0.00885417, 0.0268519]",car,0.0128195,0.390385398459259
000004_018_00000341,0,person,tiny,56.8888092444672,False,"[0.627083, 0.133333, 0.00833333, 0.0296296]",person,0.012904,0.4851129623304632
shuming_340_00000020,0,person,tiny,85.99996799999998,False,"[0.0598958, 0.544907, 0.009375, 0.0398148]",person,0.0129615,0.44285652187842417
shuming_746_00000017,1,boat,tiny,171.11108222207997,False,"[0.733594, 0.474074, 0.0401042, 0.0185185]",boat,0.0132341,0.5671658926453023
hehe_274_000002_060_00000105,6,car,tiny,96.44414888908801,False,"[0.390885, 0.214815, 0.0161458, 0.0259259]",car,0.0132855,0.6285732269170723
003958,7,ball,tiny,44.3332170667008,False,"[0.133073, 0.241204, 0.00989583, 0.0194444]",person,0.0134018,0.6969199372668045
003958,7,ball,tiny,15.999984,False,"[0.971354, 0.12037, 0.00625, 0.0111111]",person,0.0134196,0.06349060538499446
003515,0,person,tiny,59.232265804799994,False,"[0.630185, 0.42935, 0.012969, 0.019823]",animal,0.0135632,0.25248891981918853
000012_019_00000151,2,animal,tiny,172.666872,False,"[0.503646, 0.349537, 0.021875, 0.0342593]",animal,0.0138245,0.36690817635008555
hehe_61_00000090,9,garbage can,tiny,60.000192,False,"[0.345833, 0.678241, 0.0104167, 0.025]",person,0.0140209,0.5242988270944852
002457,6,car,tiny,238.333914667008,False,"[0.672135, 0.556944, 0.0338542, 0.0305556]",car,0.0140899,0.7116565157300759
shuming_342_00000275,0,person,tiny,71.77779582220799,False,"[0.254948, 0.659259, 0.00989583, 0.0314815]",person,0.0142819,0.5451212442759158
003265,2,animal,tiny,31.999967999999996,False,"[0.232292, 0.4, 0.009375, 0.0148148]",boat,0.0148317,0.40931619355953663
003980,0,person,tiny,129.55524711091198,False,"[0.0520833, 0.153241, 0.0114583, 0.0490741]",person,0.0149025,0.721465257468474
003265,2,animal,tiny,62.22201777792,False,"[0.392708, 0.452778, 0.0145833, 0.0185185]",person,0.0149759,0.13929528236530156
001157,0,person,tiny,127.444207555584,False,"[0.47474, 0.339352, 0.0192708, 0.0287037]",sign,0.0151387,0.5817844179972879
003265,0,person,tiny,247.99961199974396,False,"[0.945573, 0.452778, 0.0161458, 0.0666667]",boat,0.0154186,0.08663934326969354
hehe_6_00000054,7,ball,tiny,74.66642133350399,False,"[0.24375, 0.766667, 0.0145833, 0.0222222]",person,0.0154662,0.243928265760735
shuming_746_00000017,0,person,tiny,49.77770808890881,False,"[0.792708, 0.40463, 0.00833333, 0.0259259]",person,0.0155284,0.6988976338692984
003455,2,animal,tiny,110.46059735039998,False,"[0.593929, 0.394924, 0.012564, 0.038159]",animal,0.015651,0.43749143324278433
002955,5,bicycle,tiny,163.333678666752,False,"[0.210156, 0.888889, 0.0182292, 0.0388889]",person,0.0156863,0.6018719995450342
002955,0,person,tiny,85.333248,False,"[0.211458, 0.885185, 0.0125, 0.0296296]",person,0.0156863,0.5100136852199566
002962,5,bicycle,tiny,160.44478222233596,False,"[0.443229, 0.664815, 0.0197917, 0.0351852]",bicycle,0.0157452,0.3789023647498083
003133,0,person,tiny,189.44395688908799,False,"[0.0210938, 0.8125, 0.0161458, 0.0509259]",car,0.0161008,0.47740763353157195
002338,2,animal,tiny,111.11070222259201,False,"[0.354688, 0.0523148, 0.0208333, 0.0231481]",person,0.0162583,0.7875338957339708
000190,4,sign,tiny,80.55549377740799,False,"[0.64349, 0.553241, 0.0130208, 0.0268519]",sign,0.0165812,0.5842331542645745
shuming_342_00000275,0,person,tiny,30.555509777740788,False,"[0.651823, 0.681019, 0.00572917, 0.0231481]",person,0.0166596,0.1737233978660746
003645,0,person,tiny,126.78884467199998,False,"[0.227242, 0.23046, 0.009177, 0.059965]",person,0.0170054,0.37182096455247976
003974,0,person,tiny,92.00016399974402,False,"[0.50026, 0.391667, 0.0119792, 0.0333333]",person,0.0170301,0.5555612655600441
002457,4,sign,tiny,67.555719111168,False,"[0.570833, 0.524537, 0.0166667, 0.0175926]",sign,0.0171484,0.42370417542491323
003974,0,person,tiny,55.999969599974406,False,"[0.146354, 0.323148, 0.00729167, 0.0333333]",person,0.017199,0.33526261963757464
000012_025_00000313,4,sign,tiny,151.11067555583998,False,"[0.320833, 0.662963, 0.0177083, 0.037037]",sign,0.0172126,0.5129598507045778
000051,0,person,tiny,127.999872,False,"[0.920313, 0.14537, 0.0125, 0.0444444]",bicycle,0.0175941,0.7888406807747279
003974,0,person,tiny,79.222432444416,False,"[0.817969, 0.463426, 0.0119792, 0.0287037]",person,0.0176241,0.42493299870758794
002663,0,person,tiny,28.888845777792,False,"[0.734635, 0.519444, 0.00677083, 0.0185185]",person,0.0178685,0.3338483976436177
003958,0,person,tiny,44.000063999999995,False,"[0.164583, 0.114815, 0.009375, 0.0203704]",person,0.017874,0.4672975589700294
002663,0,person,tiny,77.77750088908799,False,"[0.676823, 0.525, 0.0130208, 0.0259259]",person,0.017954,0.5450716039630644
000012_025_00000313,2,animal,tiny,87.00019199999998,False,"[0.45599, 0.306944, 0.0151042, 0.025]",uav,0.0180109,0.19243908601700033
