image_stem,class_id,class_name,confidence,bbox_xywhn,fp_reason,best_any_iou,best_gt_class
shuming_1018_00000294,4,sign,0.799214,"[0.91636, 0.388021, 0.0384609, 0.180999]",background,0.0,animal
003133,4,sign,0.793442,"[0.778875, 0.247414, 0.0985008, 0.218853]",background,0.008416658376886656,sign
shuming_195_00000379,0,person,0.791023,"[0.0928004, 0.174739, 0.184292, 0.34746]",background,0.0,person
001379,2,animal,0.78707,"[0.0628582, 0.401368, 0.023448, 0.0936623]",localization,0.39693805588083975,animal
000020_011_00000076,5,bicycle,0.781076,"[0.427108, 0.464176, 0.0615253, 0.0924554]",localization,0.24543030694824197,seat
001379,2,animal,0.771531,"[0.0305005, 0.208898, 0.029708, 0.0457943]",background,0.0,animal
000009_034_00000268,3,seat,0.77066,"[0.0473122, 0.607891, 0.0915395, 0.0400813]",background,0.0,bicycle
000013_023_00000075,2,animal,0.770335,"[0.914142, 0.421448, 0.0253611, 0.061176]",localization,0.464061508714545,animal
000020_011_00000151,0,person,0.767727,"[0.599305, 0.512355, 0.0457802, 0.284967]",localization,0.3052453075708183,bicycle
000008_042_00000273,0,person,0.76373,"[0.0780896, 0.50413, 0.154376, 0.991739]",localization,0.45658077810037484,person
shuming_1069_00000322,8,light,0.761706,"[0.481673, 0.17808, 0.0457511, 0.307201]",background,0.0,animal
shuming_1340_00000022,8,light,0.759441,"[0.232482, 0.147429, 0.0803296, 0.0502246]",localization,0.49282870389154976,light
000429,2,animal,0.74742,"[0.64642, 0.66747, 0.249735, 0.32752]",localization,0.4862311958921793,animal
000003_013_00000085,6,car,0.745673,"[0.837034, 0.606542, 0.324004, 0.786916]",localization,0.4388138878507164,tricycle
001400,2,animal,0.745092,"[0.385004, 0.214046, 0.0215226, 0.0469734]",localization,0.3873593782991034,animal
003766,2,animal,0.734978,"[0.296616, 0.890103, 0.129757, 0.213201]",localization,0.46080901429306076,animal
hehe_223_000002_041_00000148,6,car,0.734746,"[0.346534, 0.553807, 0.107849, 0.0555269]",localization,0.3614863350375557,car
003489,0,person,0.731661,"[0.725347, 0.290484, 0.0391311, 0.195751]",localization,0.4744103658470324,person
003019,0,person,0.731212,"[0.41865, 0.336522, 0.0441584, 0.312621]",localization,0.24222638972852523,person
002318,0,person,0.731031,"[0.358053, 0.58555, 0.13536, 0.242355]",localization,0.3418338344756294,seat
001257,0,person,0.725327,"[0.421397, 0.601339, 0.0866611, 0.307767]",duplicate_detection,0.5551952763474608,person
shuming_1101_00000011,2,animal,0.717341,"[0.662168, 0.365325, 0.140554, 0.238785]",duplicate_detection,0.858974458323803,animal
000020_014_00000193,0,person,0.714434,"[0.774541, 0.609024, 0.030947, 0.136507]",background,0.0,person
000016_021_suppl_00000156,2,animal,0.713294,"[0.638936, 0.412157, 0.246234, 0.206087]",localization,0.4259787865831701,animal
000463,0,person,0.713176,"[0.192359, 0.917322, 0.0379575, 0.165356]",background,0.0,animal
shuming_774_00000273,8,light,0.712482,"[0.43112, 0.665586, 0.0242378, 0.282009]",localization,0.18143618447839802,light
shuming_497_00000051,6,car,0.712237,"[0.331994, 0.793585, 0.216929, 0.153927]",duplicate_detection,0.7027626089931353,car
001685,6,car,0.708223,"[0.437163, 0.675339, 0.0363136, 0.0373164]",localization,0.2029965784515007,car
001683,6,car,0.707478,"[0.43719, 0.67533, 0.0352436, 0.0347385]",localization,0.15562163698311127,car
001139,0,person,0.70594,"[0.970573, 0.589452, 0.017766, 0.055947]",class_confusion,0.5510869074672783,boat
hehe_296_000002_074_00000001,5,bicycle,0.705474,"[0.661165, 0.680028, 0.0458459, 0.0630709]",class_confusion,0.8118593196178598,car
003489,0,person,0.700424,"[0.665353, 0.259858, 0.0322653, 0.170209]",localization,0.350355036124796,person
000186,4,sign,0.695879,"[0.576963, 0.776735, 0.0183784, 0.10257]",localization,0.48266214618031444,sign
003526,2,animal,0.695049,"[0.97237, 0.619122, 0.052441, 0.221206]",localization,0.466327560147209,animal
shuming_1290_00000136,8,light,0.692399,"[0.891717, 0.132877, 0.0905468, 0.0400308]",localization,0.3957231842929816,light
002326,6,car,0.690947,"[0.0131167, 0.68199, 0.0262335, 0.0434109]",background,0.0,person
shuming_1079_00000233,2,animal,0.690481,"[0.898659, 0.349909, 0.0421614, 0.092275]",localization,0.46769443133250754,animal
00000025,10,uav,0.684714,"[0.754272, 0.55558, 0.0678738, 0.0621456]",localization,0.3621989647471911,uav
001015,4,sign,0.684216,"[0.409923, 0.608592, 0.0279795, 0.0450602]",localization,0.15177547338960617,sign
000032_028_00000017,5,bicycle,0.683838,"[0.695519, 0.566143, 0.185834, 0.420475]",localization,0.4218957714814849,bicycle
002318,5,bicycle,0.68317,"[0.354982, 0.686903, 0.312416, 0.369316]",class_confusion,0.5954099301629507,seat
shuming_989_00000171,2,animal,0.681872,"[0.150217, 0.729233, 0.0238004, 0.0244888]",background,0.0,boat
shuming_1258_00000407,8,light,0.681826,"[0.320552, 0.16581, 0.0911034, 0.0535638]",localization,0.4671488255186368,light
000011_006_00000256,0,person,0.680183,"[0.195602, 0.723534, 0.121789, 0.546693]",class_confusion,0.6667727118591863,seat
hehe_81_00000050,6,car,0.678035,"[0.326355, 0.647767, 0.0371399, 0.0336207]",background,0.09901197955793763,bicycle
shuming_1258_00000407,8,light,0.675562,"[0.892568, 0.132874, 0.0951004, 0.0498824]",localization,0.4676107215089028,light
001651,6,car,0.673685,"[0.359682, 0.677362, 0.0283705, 0.0365362]",localization,0.10550873671650297,car
000013_036_00000208,3,seat,0.672488,"[0.850355, 0.413699, 0.134309, 0.218256]",background,0.0,animal
hehe_81_00000050,6,car,0.670393,"[0.279882, 0.672126, 0.0438449, 0.0463524]",class_confusion,0.7505196012397832,bicycle
shuming_1338_00000245,8,light,0.66805,"[0.658909, 0.0727827, 0.104331, 0.0605633]",localization,0.4738528796438841,light
000051,0,person,0.667296,"[0.783872, 0.200786, 0.0120564, 0.0662849]",localization,0.4788771052815153,person
000575,2,animal,0.663441,"[0.764218, 0.344152, 0.224041, 0.130176]",class_confusion,0.7798272618357458,boat
002663,0,person,0.655472,"[0.7664, 0.621111, 0.038797, 0.277069]",localization,0.43288448848311384,person
000003_014_00000161,6,car,0.654285,"[0.119564, 0.319657, 0.142794, 0.0990593]",localization,0.2899640250429682,car
000009_034_00000179,0,person,0.654136,"[0.789203, 0.567108, 0.0228615, 0.0674389]",background,0.0,seat
002592,0,person,0.652989,"[0.0160557, 0.748991, 0.0290098, 0.258406]",localization,0.40702759762180835,person
003974,0,person,0.652291,"[0.41836, 0.368534, 0.014344, 0.0644019]",localization,0.4554438216469511,person
shuming_1199_00000559,6,car,0.65139,"[0.189685, 0.649881, 0.0328778, 0.0298326]",background,0.011057346181844414,seat
003974,0,person,0.651383,"[0.465784, 0.380735, 0.0167236, 0.0952181]",duplicate_detection,0.6792994623556482,person
001886,6,car,0.651152,"[0.214714, 0.789767, 0.0824674, 0.0809218]",localization,0.37808776678355077,car
000023_008_00000202,0,person,0.649323,"[0.747923, 0.713275, 0.104567, 0.369996]",class_confusion,0.5505322600433309,seat
002327,6,car,0.647929,"[0.013399, 0.681488, 0.0267979, 0.0445666]",background,0.0,person
000005_032_00000205,0,person,0.643424,"[0.221409, 0.545103, 0.0451275, 0.0847934]",localization,0.11938409463951949,person
002725,0,person,0.643368,"[0.400621, 0.683082, 0.074675, 0.180735]",localization,0.4011278498061395,seat
001173,2,animal,0.642756,"[0.706942, 0.339588, 0.0607527, 0.0848943]",background,0.0,animal
shuming_1159_00000050,2,animal,0.642703,"[0.164299, 0.134932, 0.0241705, 0.0553184]",background,0.0,animal
shuming_1242_00000015,6,car,0.642679,"[0.14174, 0.742557, 0.0345142, 0.0345588]",background,0.016458288723506864,seat
shuming_460_00000016,8,light,0.637446,"[0.248693, 0.395265, 0.0274815, 0.2316]",background,0.0,person
003766,2,animal,0.633595,"[0.294574, 0.636713, 0.0323777, 0.0705838]",localization,0.42544503626075697,animal
hehe_61_00000090,5,bicycle,0.631037,"[0.010942, 0.771842, 0.021884, 0.140534]",class_confusion,0.8622586283184167,car
shuming_1243_00000132,6,car,0.629611,"[0.141809, 0.741006, 0.0346494, 0.0362013]",background,0.01728671020411519,seat
shuming_72_00000270,5,bicycle,0.626611,"[0.311487, 0.314988, 0.114578, 0.307328]",localization,0.39859140816196453,bicycle
000050,0,person,0.625334,"[0.282598, 0.401009, 0.0248096, 0.144883]",localization,0.486662371452945,person
000009_034_00000268,0,person,0.624604,"[0.724552, 0.562416, 0.0232719, 0.0665544]",background,0.0,bicycle
shuming_1258_00000407,6,car,0.62268,"[0.3263, 0.673397, 0.0332422, 0.0372443]",background,0.014977498608334559,seat
003257,0,person,0.621986,"[0.917366, 0.178298, 0.0536202, 0.182209]",class_confusion,0.5418467861690642,seat
000014_047_00000208,0,person,0.621862,"[0.354515, 0.77771, 0.0330749, 0.0684099]",localization,0.43603439918067227,person
hehe_114_000002_003_00000244,3,seat,0.618374,"[0.882579, 0.75582, 0.184307, 0.487142]",localization,0.3981957990923964,seat
shuming_1290_00000136,6,car,0.617265,"[0.322532, 0.673065, 0.0333814, 0.0394007]",background,0.0,person
shuming_774_00000273,5,bicycle,0.61609,"[0.342801, 0.940259, 0.101965, 0.119482]",background,0.0,car
shuming_1018_00000294,2,animal,0.614271,"[0.734021, 0.598611, 0.0487984, 0.0627195]",localization,0.4727027568650698,animal
002676,0,person,0.614142,"[0.338744, 0.602941, 0.0548982, 0.196506]",duplicate_detection,0.8692435954801788,person
002955,0,person,0.613521,"[0.663644, 0.922004, 0.0296754, 0.152108]",duplicate_detection,0.5340575199068278,person
002955,5,bicycle,0.613194,"[0.108312, 0.901245, 0.0331714, 0.0564823]",background,0.09138610116961936,person
001924,6,car,0.612835,"[0.305384, 0.813926, 0.103161, 0.0733666]",localization,0.47769266806243965,car
000003_014_00000001,6,car,0.609602,"[0.744126, 0.617306, 0.511748, 0.747905]",duplicate_detection,0.5221750697057029,car
003546,2,animal,0.609352,"[0.344963, 0.17228, 0.0401403, 0.0849755]",localization,0.3883028212361353,animal
hehe_6_00000054,0,person,0.608127,"[0.309812, 0.779155, 0.0326506, 0.142427]",localization,0.3960033855046837,person
shuming_342_00000275,0,person,0.607588,"[0.586163, 0.694264, 0.0107039, 0.0442144]",localization,0.4702052746154378,person
000006_012_00000001,0,person,0.60677,"[0.666856, 0.352788, 0.0339085, 0.155475]",background,0.0,animal
shuming_1199_00000559,8,light,0.605722,"[0.750201, 0.104387, 0.0772182, 0.053367]",localization,0.46154026245642155,light
003603,2,animal,0.604689,"[0.366272, 0.784332, 0.0571952, 0.12456]",localization,0.3942897441766673,animal
shuming_414_00000005,10,uav,0.599517,"[0.799759, 0.788809, 0.0641541, 0.0463047]",background,0.0,person
003455,0,person,0.598928,"[0.746313, 0.36694, 0.0296614, 0.116469]",localization,0.4880170210776336,person
001655,6,car,0.596477,"[0.360452, 0.678259, 0.0291335, 0.0396291]",localization,0.13685451024949494,car
001683,6,car,0.596462,"[0.399039, 0.67708, 0.0476322, 0.0355975]",duplicate_detection,0.5853971764390775,car
002327,6,car,0.595267,"[0.424731, 0.660256, 0.0495218, 0.041787]",localization,0.4630544016454003,car
002598,0,person,0.593173,"[0.0393712, 0.830651, 0.042538, 0.212957]",duplicate_detection,0.688463796811029,person
002725,0,person,0.591568,"[0.0350513, 0.574047, 0.0217164, 0.114463]",localization,0.49771987070973045,person
003996,8,light,0.590903,"[0.366015, 0.259552, 0.0352975, 0.204015]",background,0.007730951092434729,person
003265,1,boat,0.590693,"[0.647093, 0.507929, 0.169161, 0.15622]",localization,0.4010778957294205,boat
hehe_274_000002_060_00000105,4,sign,0.589626,"[0.17891, 0.116236, 0.0125592, 0.0291008]",background,0.0,car
000006_005_00000393,2,animal,0.589203,"[0.950365, 0.393643, 0.0291632, 0.0667471]",localization,0.447549786368974,animal
shuming_774_00000273,5,bicycle,0.582197,"[0.953889, 0.935823, 0.091272, 0.127575]",background,0.0,car
000014_026_00000127,0,person,0.581801,"[0.1072, 0.502255, 0.0979303, 0.446889]",duplicate_detection,0.5516757936582418,person
shuming_774_00000273,4,sign,0.581528,"[0.860027, 0.654248, 0.0221775, 0.0272935]",background,0.0,car
000005_032_00000205,5,bicycle,0.5806,"[0.952037, 0.519303, 0.0283161, 0.0340708]",background,0.0,seat
000006_005_00000295,2,animal,0.578509,"[0.0195529, 0.577075, 0.0327215, 0.0858797]",background,0.0,animal
001306,2,animal,0.577831,"[0.45483, 0.544787, 0.0283052, 0.0387753]",duplicate_detection,0.7017338573298213,animal
002676,0,person,0.576887,"[0.804666, 0.550942, 0.0310257, 0.182172]",localization,0.35115154138836024,person
000020_014_00000001,9,garbage can,0.576699,"[0.548587, 0.795705, 0.0465264, 0.120721]",background,0.0,person
000020_011_00000151,5,bicycle,0.573486,"[0.0541177, 0.422756, 0.0502927, 0.0991316]",localization,0.11832055619030285,seat
shuming_989_00000171,2,animal,0.572105,"[0.577557, 0.706299, 0.0228625, 0.0398505]",background,0.02705025930384126,boat
hehe_296_000002_074_00000001,6,car,0.568965,"[0.18506, 0.647333, 0.0416436, 0.0247201]",localization,0.39140869500083303,car
001138,8,light,0.568428,"[0.903706, 0.507692, 0.0288761, 0.16685]",localization,0.43691249523163833,light
000336,0,person,0.567934,"[0.0433378, 0.68622, 0.0320439, 0.193545]",localization,0.2861508617700403,person
003974,0,person,0.567408,"[0.00530398, 0.285167, 0.0104304, 0.0773013]",localization,0.4720780480418629,person
000050,5,bicycle,0.561614,"[0.0333993, 0.473681, 0.0151077, 0.0445184]",duplicate_detection,0.5606776720336971,bicycle
000003_014_00000001,6,car,0.561579,"[0.987072, 0.603789, 0.0243131, 0.0758404]",localization,0.1998089361528544,car
001379,2,animal,0.561132,"[0.377079, 0.311329, 0.0204174, 0.0655778]",duplicate_detection,0.5141394200952801,animal
003873,2,animal,0.56103,"[0.594031, 0.303605, 0.0931656, 0.0690486]",localization,0.49347580456547224,animal
000032_028_00000017,5,bicycle,0.560817,"[0.537546, 0.599722, 0.282637, 0.412943]",duplicate_detection,0.630171766520851,bicycle
shuming_779_00000254,0,person,0.560408,"[0.725463, 0.809187, 0.0206423, 0.0868578]",background,0.0,car
000050,0,person,0.559997,"[0.209814, 0.349079, 0.0117091, 0.0498216]",background,0.0,person
000011_006_00000256,0,person,0.559145,"[0.130468, 0.689181, 0.260936, 0.621362]",localization,0.3977093836655,seat
001578,2,animal,0.558636,"[0.182006, 0.357409, 0.0710008, 0.091738]",background,0.0,animal
000017_015_suppl_00000162,8,light,0.557747,"[0.0932812, 0.300183, 0.0287184, 0.186569]",background,0.056736998180248514,person
000017_015_suppl_00000162,8,light,0.556389,"[0.458052, 0.275442, 0.0646717, 0.550883]",background,0.0,sign
shuming_410_00000037,5,bicycle,0.553878,"[0.229636, 0.559987, 0.0537394, 0.147146]",class_confusion,0.7075370358462162,person
003096,0,person,0.552145,"[0.0740339, 0.40819, 0.143567, 0.519666]",localization,0.340804655653755,seat
shuming_985_00000020,2,animal,0.552023,"[0.128217, 0.591628, 0.0503177, 0.0849318]",localization,0.3942034964204878,animal
000016_003_suppl_00000166,2,animal,0.548681,"[0.388528, 0.4926, 0.0400683, 0.0628254]",background,0.0,animal
001306,2,animal,0.548163,"[0.444483, 0.535112, 0.015375, 0.0253696]",localization,0.2629522153409906,animal
000282,6,car,0.547997,"[0.0781568, 0.434704, 0.0561917, 0.121093]",localization,0.2594439805508173,car
000016_034_00000265,0,person,0.547233,"[0.855825, 0.0456645, 0.0218407, 0.091329]",localization,0.13169320953955344,person
002592,8,light,0.546707,"[0.366575, 0.508454, 0.0421094, 0.130498]",localization,0.42092658422456614,light
001651,6,car,0.543915,"[0.0120048, 0.694677, 0.0240097, 0.0429433]",background,0.0,person
003782,2,animal,0.54366,"[0.746476, 0.720201, 0.185869, 0.559599]",localization,0.49596059584036173,animal
hehe_232_000002_043_00000181,0,person,0.539407,"[0.168373, 0.70308, 0.0167307, 0.0821843]",background,0.0,person
003421,8,light,0.538485,"[0.444216, 0.27506, 0.0441015, 0.207408]",localization,0.45434831896612154,light
001295,2,animal,0.537515,"[0.749631, 0.565084, 0.0222107, 0.0400505]",duplicate_detection,0.5693117698240001,animal
000040,0,person,0.5367,"[0.110175, 0.499425, 0.0158906, 0.07439]",duplicate_detection,0.6489541157092336,person
001346,2,animal,0.536676,"[0.587958, 0.306173, 0.0290271, 0.0613106]",localization,0.4724234867774317,animal
shuming_989_00000171,2,animal,0.535265,"[0.662711, 0.633212, 0.0191166, 0.0501836]",localization,0.13345379671322147,animal
003056,0,person,0.534102,"[0.705567, 0.587844, 0.155888, 0.712909]",localization,0.4266608638996391,seat
003958,0,person,0.533758,"[0.99356, 0.0964236, 0.0111923, 0.0425733]",background,0.0,person
001924,6,car,0.531236,"[0.0100839, 0.694878, 0.0201679, 0.0438894]",background,0.0,light
000011_006_00000256,0,person,0.530375,"[0.0348234, 0.685874, 0.0696469, 0.624461]",localization,0.44982533038431766,person
002598,0,person,0.529357,"[0.375508, 0.763581, 0.0291211, 0.0895177]",localization,0.4981838776789543,person
003882,2,animal,0.528693,"[0.171152, 0.345418, 0.0168463, 0.0664225]",class_confusion,0.7011004798943344,person
001655,6,car,0.527949,"[0.0133304, 0.696165, 0.0266607, 0.0455505]",background,0.0,person
003974,0,person,0.527378,"[0.206699, 0.329076, 0.0128531, 0.0526132]",localization,0.3394531312554498,person
002343,2,animal,0.526403,"[0.187307, 0.216287, 0.0165149, 0.0463715]",localization,0.3695435062975642,animal
001273,6,car,0.526132,"[0.632443, 0.67064, 0.0475518, 0.0369976]",duplicate_detection,0.5017803744551322,car
003679,2,animal,0.525663,"[0.33056, 0.449334, 0.0418613, 0.0661472]",localization,0.4523299353762769,animal
shuming_410_00000037,0,person,0.525567,"[0.0659756, 0.572265, 0.0170366, 0.0731313]",localization,0.43622866847774844,person
shuming_1001_00000447,2,animal,0.525057,"[0.823785, 0.606786, 0.0805309, 0.148128]",localization,0.4026369176833163,animal
001157,6,car,0.524337,"[0.0254139, 0.413188, 0.0508278, 0.056673]",localization,0.2717989768229067,car
shuming_1337_00000068,6,car,0.523438,"[0.0140949, 0.695161, 0.0281898, 0.0461762]",background,0.0,person
000013_015_suppl_00000384,2,animal,0.52283,"[0.827769, 0.639468, 0.0440311, 0.128185]",localization,0.36210989209027894,animal
001157,6,car,0.521198,"[0.0155838, 0.417812, 0.0311675, 0.0632046]",localization,0.1370116235714191,car
shuming_342_00000275,0,person,0.519903,"[0.735109, 0.702971, 0.0118886, 0.0547696]",duplicate_detection,0.9392122836601619,person
000040,0,person,0.519622,"[0.15569, 0.484008, 0.0149012, 0.0693139]",background,0.006237091443217892,person
shuming_342_00000275,0,person,0.519392,"[0.682307, 0.704926, 0.0103004, 0.0454963]",localization,0.48353806168437574,person
hehe_52_00000107,2,animal,0.517179,"[0.566498, 0.643967, 0.0231969, 0.150009]",localization,0.30808275916620775,animal
001211,6,car,0.516775,"[0.395421, 0.662256, 0.0408035, 0.0385313]",localization,0.42869933565759916,car
shuming_342_00000275,0,person,0.516405,"[0.610124, 0.70042, 0.00987085, 0.049862]",duplicate_detection,0.908703586949182,person
shuming_683_00000020,0,person,0.516217,"[0.37008, 0.656981, 0.0308604, 0.102077]",duplicate_detection,0.5181217628122595,person
shuming_497_00000051,0,person,0.515543,"[0.328459, 0.80889, 0.0187199, 0.0859438]",localization,0.43210491295287545,person
shuming_1338_00000245,6,car,0.515131,"[0.0126395, 0.695515, 0.025279, 0.0414852]",background,0.0,person
000051,5,bicycle,0.514995,"[0.682064, 0.295337, 0.0109209, 0.0378359]",localization,0.32701374962133534,bicycle
shuming_1018_00000294,2,animal,0.513613,"[0.691649, 0.632668, 0.0299746, 0.0678115]",localization,0.3516152671502052,animal
shuming_1001_00000447,2,animal,0.512727,"[0.737165, 0.638776, 0.0391598, 0.0806994]",localization,0.47097346005479357,animal
hehe_244_000002_047_00000062,8,light,0.512581,"[0.0307878, 0.336842, 0.0600185, 0.673685]",background,0.04559498633991148,light
002084,6,car,0.512084,"[0.542278, 0.631857, 0.0277792, 0.0311431]",localization,0.17084825359043226,car
003096,0,person,0.511906,"[0.162344, 0.207763, 0.0447987, 0.0928092]",localization,0.20491420605086397,person
000020_014_00000001,0,person,0.511272,"[0.407374, 0.75307, 0.0349136, 0.159882]",duplicate_detection,0.5392360079518036,person
000051,5,bicycle,0.509886,"[0.634482, 0.300949, 0.0115397, 0.0390127]",duplicate_detection,0.6680778095393539,bicycle
000014_025_suppl_00000308,0,person,0.509323,"[0.826398, 0.204528, 0.0210289, 0.0451697]",background,0.035318572895891465,person
002693,0,person,0.508367,"[0.914942, 0.532904, 0.0348568, 0.116097]",localization,0.2907326476654929,person
shuming_1031_00000312,0,person,0.508029,"[0.105057, 0.0584321, 0.0209148, 0.0460658]",background,0.0,animal
000003_029_00000084,6,car,0.507637,"[0.351234, 0.0872264, 0.062939, 0.0540158]",localization,0.3823431131610553,car
hehe_63_00000153,6,car,0.506759,"[0.971128, 0.817115, 0.0567268, 0.124381]",background,0.0,sign
000016_034_suppl_00000330,0,person,0.506726,"[0.83121, 0.0708177, 0.0328976, 0.141614]",duplicate_detection,0.5490417100406555,person
000016_034_00000199,0,person,0.505605,"[0.978023, 0.11217, 0.0436996, 0.221304]",localization,0.4560984087852447,person
001210,6,car,0.501094,"[0.590246, 0.671545, 0.0424051, 0.0401324]",duplicate_detection,0.6302986727543373,car
002693,0,person,0.501049,"[0.377736, 0.536692, 0.0214805, 0.128072]",duplicate_detection,0.8409792365535848,person
002693,0,person,0.501005,"[0.50696, 0.532652, 0.0209906, 0.11769]",duplicate_detection,0.6101533942307373,person
