audit_index,stem,line,severity,issue_type,details,visualization,review_status
14,000050,37,error,invalid_center_coordinate,"center=(1.00104, 0.2875), expected both values in [0, 1]",outputs\visualization\label_audit\audit_014_000050_L37_invalid_center_coordinate.jpg,pending_human_review
15,000224,1,warning,bbox_out_of_bounds,"edges=(0.6520835, 0.3611105, 0.7598965, 1.0037035)",outputs\visualization\label_audit\audit_015_000224_L1_bbox_out_of_bounds.jpg,pending_human_review
16,000437,11,warning,bbox_out_of_bounds,"edges=(0.86145835, 0.7953705, 0.91979165, 1.0277775)",outputs\visualization\label_audit\audit_016_000437_L11_bbox_out_of_bounds.jpg,pending_human_review
17,000437,12,warning,bbox_out_of_bounds,"edges=(0.94166685, 0.710185, 1.0031252, 1.037963)",outputs\visualization\label_audit\audit_017_000437_L12_bbox_out_of_bounds.jpg,pending_human_review
18,000644,15,warning,bbox_out_of_bounds,"edges=(0.94218715, 0.61666655, 1.0057288, 0.68055545)",outputs\visualization\label_audit\audit_018_000644_L15_bbox_out_of_bounds.jpg,pending_human_review
19,000755,3,warning,bbox_out_of_bounds,"edges=(0.7640625, 0.7564815, 1.0083335, 1.0425925)",outputs\visualization\label_audit\audit_019_000755_L3_bbox_out_of_bounds.jpg,pending_human_review
20,000782,5,warning,bbox_out_of_bounds,"edges=(0.977083, 0.6555552, 1.008333, 0.7101848)",outputs\visualization\label_audit\audit_020_000782_L5_bbox_out_of_bounds.jpg,pending_human_review
21,000850,8,warning,bbox_out_of_bounds,"edges=(0.9453125, 0.2962965, 1.0109375, 0.4138895)",outputs\visualization\label_audit\audit_021_000850_L8_bbox_out_of_bounds.jpg,pending_human_review
22,000868,12,warning,bbox_out_of_bounds,"edges=(0.95000025, 0.1870365, 1.0109378, 0.7046295)",outputs\visualization\label_audit\audit_022_000868_L12_bbox_out_of_bounds.jpg,pending_human_review
23,001029,4,warning,bbox_out_of_bounds,"edges=(0.8531255, 0.3296295, 1.0375005, 0.7620365)",outputs\visualization\label_audit\audit_023_001029_L4_bbox_out_of_bounds.jpg,pending_human_review
24,001038,7,warning,bbox_out_of_bounds,"edges=(0.38333325, 0.753704, 0.43802075, 1.030556)",outputs\visualization\label_audit\audit_024_001038_L7_bbox_out_of_bounds.jpg,pending_human_review
25,001047,12,warning,bbox_out_of_bounds,"edges=(0.97552035, 0.67407435, 1.0026036, 0.73240765)",outputs\visualization\label_audit\audit_025_001047_L12_bbox_out_of_bounds.jpg,pending_human_review
26,001168,1,warning,bbox_out_of_bounds,"edges=(-0.01979168, 0.7444442, 0.03906252, 0.8249998)",outputs\visualization\label_audit\audit_026_001168_L1_bbox_out_of_bounds.jpg,pending_human_review
27,001202,6,warning,bbox_out_of_bounds,"edges=(0.90729175, 0.00555555, 1.0026043, 0.05648145)",outputs\visualization\label_audit\audit_027_001202_L6_bbox_out_of_bounds.jpg,pending_human_review
28,001265,6,warning,bbox_out_of_bounds,"edges=(0.905208, -0.0009259, 0.998958, 0.0546297)",outputs\visualization\label_audit\audit_028_001265_L6_bbox_out_of_bounds.jpg,pending_human_review
29,001387,10,warning,bbox_out_of_bounds,"edges=(0.917187, 0.94259265, 0.960937, 1.0083334)",outputs\visualization\label_audit\audit_029_001387_L10_bbox_out_of_bounds.jpg,pending_human_review
30,001388,4,warning,bbox_out_of_bounds,"edges=(0.9677085, 0.94444435, 0.9958335, 1.0027777)",outputs\visualization\label_audit\audit_030_001388_L4_bbox_out_of_bounds.jpg,pending_human_review
31,001470,14,warning,bbox_out_of_bounds,"edges=(0.9005205, -0.0009259, 1.0036455, 0.0685185)",outputs\visualization\label_audit\audit_031_001470_L14_bbox_out_of_bounds.jpg,pending_human_review
32,001677,1,warning,bbox_out_of_bounds,"edges=(0.2817705, 0.031482, 0.5010415, 1.001852)",outputs\visualization\label_audit\audit_032_001677_L1_bbox_out_of_bounds.jpg,pending_human_review
33,001712,1,warning,bbox_out_of_bounds,"edges=(0.417708, 0.4157405, 0.627604, 1.0009255)",outputs\visualization\label_audit\audit_033_001712_L1_bbox_out_of_bounds.jpg,pending_human_review
34,001803,6,warning,bbox_out_of_bounds,"edges=(0.903646, -0.0009259, 1.003646, 0.0592593)",outputs\visualization\label_audit\audit_034_001803_L6_bbox_out_of_bounds.jpg,pending_human_review
35,001813,6,warning,bbox_out_of_bounds,"edges=(0.903646, 0, 1.003646, 0.0601852)",outputs\visualization\label_audit\audit_035_001813_L6_bbox_out_of_bounds.jpg,pending_human_review
36,001833,3,warning,bbox_out_of_bounds,"edges=(0.1468755, -0.0009259, 0.2651045, 0.0666667)",outputs\visualization\label_audit\audit_036_001833_L3_bbox_out_of_bounds.jpg,pending_human_review
37,001865,1,warning,bbox_out_of_bounds,"edges=(-0.0005208, 0.10185175, 0.0588542, 0.14537025)",outputs\visualization\label_audit\audit_037_001865_L1_bbox_out_of_bounds.jpg,pending_human_review
38,001873,1,warning,bbox_out_of_bounds,"edges=(-0.0005208, 0.10185175, 0.0588542, 0.14537025)",outputs\visualization\label_audit\audit_038_001873_L1_bbox_out_of_bounds.jpg,pending_human_review
39,001884,8,warning,bbox_out_of_bounds,"edges=(0.5385415, 0.8648145, 0.6942705, 1.0018515)",outputs\visualization\label_audit\audit_039_001884_L8_bbox_out_of_bounds.jpg,pending_human_review
40,001986,6,warning,bbox_out_of_bounds,"edges=(0.3588535, 0.171296, 0.5541665, 1.068518)",outputs\visualization\label_audit\audit_040_001986_L6_bbox_out_of_bounds.jpg,pending_human_review
41,001987,6,warning,bbox_out_of_bounds,"edges=(0.3625005, 0.257407, 0.5484375, 1.112037)",outputs\visualization\label_audit\audit_041_001987_L6_bbox_out_of_bounds.jpg,pending_human_review
42,001989,6,warning,bbox_out_of_bounds,"edges=(0.3875, 0.188889, 0.603646, 1.086111)",outputs\visualization\label_audit\audit_042_001989_L6_bbox_out_of_bounds.jpg,pending_human_review
43,001989,7,warning,bbox_out_of_bounds,"edges=(-0.0041669, 0.560185, 0.1411461, 0.807407)",outputs\visualization\label_audit\audit_043_001989_L7_bbox_out_of_bounds.jpg,pending_human_review
44,001997,8,warning,bbox_out_of_bounds,"edges=(0.4338535, 0.1805555, 0.6380205, 1.0990745)",outputs\visualization\label_audit\audit_044_001997_L8_bbox_out_of_bounds.jpg,pending_human_review
45,002005,8,warning,bbox_out_of_bounds,"edges=(0.402604, 0.1083335, 0.604166, 1.0435185)",outputs\visualization\label_audit\audit_045_002005_L8_bbox_out_of_bounds.jpg,pending_human_review
46,002006,8,warning,bbox_out_of_bounds,"edges=(0.392188, 0.1083335, 0.603646, 1.0435185)",outputs\visualization\label_audit\audit_046_002006_L8_bbox_out_of_bounds.jpg,pending_human_review
47,002013,8,warning,bbox_out_of_bounds,"edges=(0.357813, 0.0768515, 0.638021, 1.0175925)",outputs\visualization\label_audit\audit_047_002013_L8_bbox_out_of_bounds.jpg,pending_human_review
48,002014,8,warning,bbox_out_of_bounds,"edges=(0.397396, 0.1324075, 0.598438, 1.0731485)",outputs\visualization\label_audit\audit_048_002014_L8_bbox_out_of_bounds.jpg,pending_human_review
49,002016,8,warning,bbox_out_of_bounds,"edges=(0.393229, 0.1175925, 0.565625, 1.0583335)",outputs\visualization\label_audit\audit_049_002016_L8_bbox_out_of_bounds.jpg,pending_human_review
50,002022,8,warning,bbox_out_of_bounds,"edges=(0.3890625, 0.1361105, 0.5734375, 1.0768515)",outputs\visualization\label_audit\audit_050_002022_L8_bbox_out_of_bounds.jpg,pending_human_review
51,002029,8,warning,bbox_out_of_bounds,"edges=(0.3843745, 0.144444, 0.6348955, 1.044444)",outputs\visualization\label_audit\audit_051_002029_L8_bbox_out_of_bounds.jpg,pending_human_review
52,002598,4,warning,bbox_out_of_bounds,"edges=(0.06927085, 0.731482, 0.12135415, 1.000926)",outputs\visualization\label_audit\audit_052_002598_L4_bbox_out_of_bounds.jpg,pending_human_review
53,002598,6,warning,bbox_out_of_bounds,"edges=(0.19218725, 0.755556, 0.23437475, 1.000926)",outputs\visualization\label_audit\audit_053_002598_L6_bbox_out_of_bounds.jpg,pending_human_review
54,002598,14,warning,bbox_out_of_bounds,"edges=(0.44635375, 0.701852, 0.50416625, 1.002778)",outputs\visualization\label_audit\audit_054_002598_L14_bbox_out_of_bounds.jpg,pending_human_review
55,002724,2,warning,bbox_out_of_bounds,"edges=(0.05833335, -0.001852, 0.09479165, 0.674074)",outputs\visualization\label_audit\audit_055_002724_L2_bbox_out_of_bounds.jpg,pending_human_review
56,003107,1,warning,bbox_out_of_bounds,"edges=(0.8411455, 0.3620375, 1.0390625, 0.7981485)",outputs\visualization\label_audit\audit_056_003107_L1_bbox_out_of_bounds.jpg,pending_human_review
57,003107,2,error,invalid_center_coordinate,"center=(1.00651, 0.534259), expected both values in [0, 1]",outputs\visualization\label_audit\audit_057_003107_L2_invalid_center_coordinate.jpg,pending_human_review
58,003240,1,warning,bbox_out_of_bounds,"edges=(-0.0427082, 0.402778, 0.1130208, 0.674074)",outputs\visualization\label_audit\audit_058_003240_L1_bbox_out_of_bounds.jpg,pending_human_review
59,003679,9,warning,bbox_out_of_bounds,"edges=(0.9848961, 0.249074, 1.0072919, 0.375926)",outputs\visualization\label_audit\audit_059_003679_L9_bbox_out_of_bounds.jpg,pending_human_review
60,003817,3,error,invalid_bbox_size,"size=(0.113021, 1.00185), expected both values in (0, 1]",outputs\visualization\label_audit\audit_060_003817_L3_invalid_bbox_size.jpg,pending_human_review
61,003942,1,warning,bbox_out_of_bounds,"edges=(0.96614585, 0.3203703, 1.0026042, 0.3777777)",outputs\visualization\label_audit\audit_061_003942_L1_bbox_out_of_bounds.jpg,pending_human_review
62,003963,40,warning,bbox_out_of_bounds,"edges=(0.9874996, 0.45925935, 1.0005204, 0.49351865)",outputs\visualization\label_audit\audit_062_003963_L40_bbox_out_of_bounds.jpg,pending_human_review
63,hehe_10_00000044,14,warning,duplicate_annotation,duplicates line 7,outputs\visualization\label_audit\audit_063_hehe_10_00000044_L14_duplicate_annotation.jpg,pending_human_review
64,shuming_102_00000228,,review,empty_label,empty label retained after visual review,outputs\visualization\label_audit\audit_064_shuming_102_00000228_L0_empty_label.jpg,pending_human_review
65,shuming_888_00000023,2,warning,bbox_out_of_bounds,"edges=(-0.0015622, -0.00463, 0.1968748, 0.99537)",outputs\visualization\label_audit\audit_065_shuming_888_00000023_L2_bbox_out_of_bounds.jpg,pending_human_review
66,shuming_891_00000073,2,warning,bbox_out_of_bounds,"edges=(-0.0036458, -0.000463, 0.1994792, 0.999537)",outputs\visualization\label_audit\audit_066_shuming_891_00000073_L2_bbox_out_of_bounds.jpg,pending_human_review
