pair_type,stem_a,stem_b,frame_gap,grayscale_correlation,dhash_hamming,split_relation
same_prefix_adjacent,000013_045_00000343,000013_045_00000457,114,0.4655185341835022,15,both_train
same_prefix_adjacent,000013_046_00000001,000013_046_00000135,134,0.25217771530151367,17,both_train
same_prefix_adjacent,000013_046_00000135,000013_046_00000202,67,0.017456520348787308,35,both_train
same_prefix_adjacent,000013_048_00000001,000013_048_00000072,71,0.8862119913101196,18,both_train
same_prefix_adjacent,000013_048_suppl_00000180,000013_048_suppl_00000359,179,0.28674453496932983,30,cross_split
same_prefix_adjacent,000013_052_00000065,000013_052_00000193,128,0.5608953237533569,17,both_train
same_prefix_adjacent,000013_052_suppl_00000162,000013_052_suppl_00000323,161,0.07541164755821228,32,both_train
same_prefix_adjacent,000013_055_00000001,000013_055_00000241,240,0.6172114610671997,25,both_val
same_prefix_adjacent,000013_056_00000071,000013_056_00000281,210,0.07202502340078354,33,both_train
same_prefix_adjacent,000014_023_00000208,000014_023_00000277,69,0.6315670013427734,24,both_train
same_prefix_adjacent,000014_023_suppl_00000174,000014_023_suppl_00000346,172,0.5686604380607605,28,both_train
same_prefix_adjacent,000014_026_00000064,000014_026_00000127,63,0.543915867805481,25,both_train
same_prefix_adjacent,000014_026_00000127,000014_026_00000190,63,0.581825852394104,31,both_train
same_prefix_adjacent,000014_047_00000139,000014_047_00000208,69,0.5795372128486633,19,cross_split
same_prefix_adjacent,000014_050_00000001,000014_050_00000137,136,0.3270740509033203,28,both_train
same_prefix_adjacent,000014_050_00000137,000014_050_00000273,136,0.5969223976135254,13,both_train
same_prefix_adjacent,000014_051_suppl_00000171,000014_051_suppl_00000341,170,0.4822981357574463,25,cross_split
same_prefix_adjacent,000014_052_00000001,000014_052_00000131,130,0.5780432224273682,28,both_train
same_prefix_adjacent,000014_052_00000131,000014_052_00000196,65,0.5834436416625977,25,cross_split
same_prefix_adjacent,000014_052_00000196,000014_052_00000261,65,0.71684730052948,28,both_val
same_prefix_adjacent,000014_060_00000001,000014_060_00000205,204,0.5482383966445923,14,both_train
same_prefix_adjacent,000014_064_00000001,000014_064_00000135,134,0.48929643630981445,24,both_train
same_prefix_adjacent,000015_004_00000090,000015_004_00000179,89,0.31406083703041077,32,both_train
same_prefix_adjacent,000015_004_00000179,000015_004_00000268,89,0.34723135828971863,32,both_train
same_prefix_adjacent,000016_001_00000001,000016_001_00000068,67,0.3395020663738251,29,cross_split
same_prefix_adjacent,000016_001_00000068,000016_001_00000202,134,0.38894039392471313,37,cross_split
same_prefix_adjacent,000016_001_00000202,000016_001_00000269,67,0.45266205072402954,15,both_train
same_prefix_adjacent,000016_006_00000001,000016_006_00000253,252,0.7996468544006348,11,cross_split
same_prefix_adjacent,000016_008_00000133,000016_008_00000265,132,0.30889683961868286,37,both_train
same_prefix_adjacent,000016_016_00000065,000016_016_00000129,64,0.37306562066078186,26,both_train
same_prefix_adjacent,000016_016_00000129,000016_016_00000257,128,0.06915533542633057,33,cross_split
same_prefix_adjacent,000016_021_00000001,000016_021_00000125,124,-0.09478159993886948,38,cross_split
same_prefix_adjacent,000016_021_00000125,000016_021_00000249,124,0.26559168100357056,29,both_train
same_prefix_adjacent,000016_021_suppl_00000156,000016_021_suppl_00000310,154,0.37761539220809937,38,cross_split
same_prefix_adjacent,000016_023_00000001,000016_023_00000143,142,0.2987819314002991,29,both_val
same_prefix_adjacent,000016_027_00000001,000016_027_00000281,280,0.5849162340164185,25,both_train
same_prefix_adjacent,000016_034_00000067,000016_034_00000199,132,0.049509450793266296,30,cross_split
same_prefix_adjacent,000016_034_00000199,000016_034_00000265,66,0.6684541702270508,20,cross_split
same_prefix_adjacent,000016_043_suppl_00000147,000016_043_suppl_00000292,145,0.5324771404266357,33,cross_split
same_prefix_adjacent,000016_044_00000085,000016_044_00000127,42,0.7147430181503296,20,both_train
same_prefix_adjacent,000016_044_00000127,000016_044_00000169,42,0.638586163520813,23,both_train
same_prefix_adjacent,000017_012_00000135,000017_012_00000202,67,0.07392948865890503,28,both_train
same_prefix_adjacent,000017_020_00000001,000017_020_00000214,213,0.7045524716377258,32,both_train
same_prefix_adjacent,000017_020_suppl_00000179,000017_020_suppl_00000356,177,0.7604999542236328,31,both_train
same_prefix_adjacent,000017_021_00000001,000017_021_00000265,264,0.5622353553771973,27,both_train
same_prefix_adjacent,000017_021_suppl_00000166,000017_021_suppl_00000331,165,0.3111957609653473,28,cross_split
same_prefix_adjacent,000018_001_00000155,000018_001_00000232,77,0.3653615117073059,34,both_train
same_prefix_adjacent,000018_004_00000155,000018_004_00000232,77,0.44985532760620117,27,both_train
same_prefix_adjacent,000018_006_00000063,000018_006_00000187,124,0.7249411344528198,20,both_train
same_prefix_adjacent,000018_007_00000001,000018_007_00000139,138,0.23065923154354095,29,both_train
same_prefix_adjacent,000018_007_00000139,000018_007_00000208,69,0.35911980271339417,15,both_train
same_prefix_adjacent,000018_007_00000208,000018_007_00000277,69,0.7020573616027832,10,both_train
same_prefix_adjacent,000018_008_00000001,000018_008_00000261,260,0.8141216039657593,38,both_train
same_prefix_adjacent,000019_005_00000001,000019_005_00000066,65,0.5012409687042236,26,both_val
same_prefix_adjacent,000019_005_00000066,000019_005_00000196,130,0.3375917971134186,31,cross_split
same_prefix_adjacent,000019_016_00000052,000019_016_00000154,102,0.32623016834259033,34,both_train
same_prefix_adjacent,000019_018_00000001,000019_018_00000049,48,0.6984313726425171,9,both_train
same_prefix_adjacent,000019_018_00000049,000019_018_00000145,96,0.5991568565368652,21,both_train
same_prefix_adjacent,000019_030_00000001,000019_030_00000072,71,0.7314247488975525,18,both_train
same_prefix_adjacent,000019_030_00000072,000019_030_00000285,213,0.7747961282730103,13,both_train
same_prefix_adjacent,000020_010_00000001,000020_010_00000023,22,0.8137413859367371,19,cross_split
same_prefix_adjacent,000020_010_00000023,000020_010_00000045,22,0.6195083856582642,21,cross_split
same_prefix_adjacent,000020_010_00000045,000020_010_00000089,44,0.9444539546966553,11,both_val
same_prefix_adjacent,000020_011_00000076,000020_011_00000151,75,0.680091381072998,30,cross_split
same_prefix_adjacent,000020_014_00000001,000020_014_00000129,128,0.660925030708313,14,both_train
same_prefix_adjacent,000020_014_00000129,000020_014_00000193,64,0.2906022071838379,29,cross_split
same_prefix_adjacent,000020_015_00000064,000020_015_00000127,63,0.7926410436630249,13,both_train
same_prefix_adjacent,000020_015_00000127,000020_015_00000253,126,0.5715013742446899,26,both_train
same_prefix_adjacent,000021_001_00000133,000021_001_00000199,66,0.06118612736463547,27,both_train
same_prefix_adjacent,000021_001_00000199,000021_001_00000265,66,0.47771579027175903,27,both_train
same_prefix_adjacent,000021_003_00000001,000021_003_00000091,90,0.9122033715248108,8,both_train
same_prefix_adjacent,000021_004_00000065,000021_004_00000129,64,0.7586081027984619,23,both_train
same_prefix_adjacent,000021_004_00000129,000021_004_00000193,64,0.5794874429702759,28,both_train
same_prefix_adjacent,000021_014_00000066,000021_014_00000131,65,0.4925402104854584,23,cross_split
same_prefix_adjacent,000021_014_00000131,000021_014_00000261,130,0.7447842955589294,20,both_train
same_prefix_adjacent,000021_021_00000028,000021_021_00000109,81,-0.00961022637784481,31,both_train
same_prefix_adjacent,000022_014_00000068,000022_014_00000269,201,0.8395835757255554,12,both_train
same_prefix_adjacent,000023_001_00000001,000023_001_00000082,81,0.6254391670227051,16,both_train
same_prefix_adjacent,000023_001_00000082,000023_001_00000325,243,0.7108549475669861,27,both_train
same_prefix_adjacent,000023_002_00000001,000023_002_00000072,71,0.24843406677246094,38,both_train
same_prefix_adjacent,000023_002_00000072,000023_002_00000285,213,0.282895028591156,25,both_train
same_prefix_adjacent,000023_005_00000070,000023_005_00000139,69,0.3583483397960663,27,both_train
same_prefix_adjacent,000023_008_00000068,000023_008_00000202,134,0.24399898946285248,32,cross_split
same_prefix_adjacent,000023_008_00000202,000023_008_00000269,67,0.22345292568206787,25,cross_split
same_prefix_adjacent,000023_012_00000085,000023_012_00000169,84,0.21559059619903564,32,both_train
same_prefix_adjacent,000032_003_00000001,000032_003_00000066,65,0.16346733272075653,31,cross_split
same_prefix_adjacent,000032_003_00000066,000032_003_00000131,65,0.3215801417827606,27,both_train
same_prefix_adjacent,000032_027_00000013,000032_027_00000037,24,0.06001149117946625,38,both_train
same_prefix_adjacent,000032_028_00000009,000032_028_00000017,8,0.29356685280799866,30,both_train
numeric_adjacent,000002,00000004,2,-0.3793710172176361,38,both_train
numeric_adjacent,00000004,000004,0,-0.17546698451042175,37,both_train
numeric_adjacent,000004,000005,1,0.5737087726593018,26,both_train
numeric_adjacent,000005,00000008,3,-0.2537757158279419,34,both_train
numeric_adjacent,00000008,000016,8,-0.2922924757003784,31,both_train
numeric_adjacent,000016,00000022,6,-0.264701783657074,28,cross_split
numeric_adjacent,00000022,00000025,3,0.997860312461853,10,cross_split
numeric_adjacent,00000025,000027,2,-0.5148146152496338,27,both_train
numeric_adjacent,000027,000029,2,0.21296443045139313,25,both_train
numeric_adjacent,000029,00000031,2,0.0235550906509161,31,both_train
numeric_adjacent,00000031,000031,0,-0.1982099413871765,24,both_train
numeric_adjacent,000031,000032,1,-0.235603928565979,43,both_train
numeric_adjacent,000032,00000033,1,0.03647748380899429,27,both_train
numeric_adjacent,00000033,00000034,1,0.9945409297943115,9,cross_split
numeric_adjacent,00000034,000034,0,0.05351277068257332,28,cross_split
numeric_adjacent,000034,00000036,2,0.059613969177007675,27,both_train
numeric_adjacent,00000036,000037,1,-0.02581563964486122,25,both_train
numeric_adjacent,000037,00000038,1,-0.019709749147295952,22,cross_split
numeric_adjacent,00000038,000040,2,0.12270110100507736,32,cross_split
numeric_adjacent,000040,000042,2,-0.08615434169769287,34,both_train
numeric_adjacent,000042,00000043,1,-0.038851361721754074,25,cross_split
numeric_adjacent,00000043,000043,0,-0.07153752446174622,33,cross_split
numeric_adjacent,000043,00000045,2,-0.07839334011077881,34,both_train
numeric_adjacent,00000045,000045,0,0.12892530858516693,31,both_train
numeric_adjacent,000045,00000047,2,0.15495643019676208,29,both_train
numeric_adjacent,00000047,00000049,2,0.9819766283035278,11,cross_split
numeric_adjacent,00000049,00000050,1,0.9976985454559326,2,cross_split
numeric_adjacent,00000050,000050,0,0.10101106762886047,32,both_train
numeric_adjacent,000050,000051,1,0.05639191344380379,31,both_train
numeric_adjacent,000051,00000052,1,-0.31066465377807617,27,cross_split
numeric_adjacent,00000052,00000054,2,0.9780505895614624,13,cross_split
numeric_adjacent,00000054,00000056,2,0.9872777462005615,14,both_train
numeric_adjacent,00000056,000056,0,-0.10944950580596924,35,both_train
numeric_adjacent,000056,00000057,1,-0.10924897342920303,37,both_train
numeric_adjacent,00000057,00000063,6,0.9968466758728027,10,both_train
numeric_adjacent,00000063,000066,3,0.5978773832321167,32,both_train
numeric_adjacent,000066,00000068,2,0.5984830260276794,30,both_train
numeric_adjacent,00000068,000070,2,0.5462303757667542,24,both_train
numeric_adjacent,000070,00000072,2,0.5329692959785461,32,both_train
numeric_adjacent,00000072,000078,6,0.5564083456993103,31,cross_split
numeric_adjacent,000078,000081,3,0.6708403825759888,33,both_val
numeric_adjacent,000081,00000084,3,0.6971813440322876,27,cross_split
numeric_adjacent,00000084,00000090,6,0.994260311126709,11,both_train
numeric_adjacent,00000090,00000093,3,0.9855111837387085,10,both_train
numeric_adjacent,00000093,00000095,2,0.9811159372329712,12,both_train
numeric_adjacent,00000095,000097,2,0.3394230902194977,28,cross_split
numeric_adjacent,000097,00000098,1,0.3488635718822479,30,both_val
numeric_adjacent,00000098,00000104,6,0.9817664623260498,9,cross_split
numeric_adjacent,00000104,000105,1,-0.5404711365699768,31,both_train
numeric_adjacent,000105,00000106,1,-0.5434551239013672,30,both_train
numeric_adjacent,00000106,000109,3,-0.42857205867767334,37,both_train
numeric_adjacent,000109,00000111,2,-0.41396021842956543,37,both_train
numeric_adjacent,00000111,000114,3,0.5606499910354614,33,both_train
numeric_adjacent,000114,000116,2,0.3737814426422119,30,both_train
numeric_adjacent,000116,00000118,2,0.1140792965888977,28,both_train
numeric_adjacent,00000118,00000120,2,0.9992638826370239,4,cross_split
numeric_adjacent,00000120,00000122,2,0.9994898438453674,2,cross_split
numeric_adjacent,00000122,00000123,1,0.9995267987251282,1,both_train
numeric_adjacent,00000123,000127,4,-0.4833664298057556,26,both_train
numeric_adjacent,000127,00000129,2,-0.49591583013534546,38,both_train
numeric_adjacent,00000129,00000130,1,0.9996466636657715,3,both_train
numeric_adjacent,00000130,000130,0,-0.4795537292957306,40,both_train
numeric_adjacent,000130,00000136,6,-0.47907692193984985,36,both_train
numeric_adjacent,00000136,00000139,3,0.9992802143096924,4,both_train
numeric_adjacent,00000139,000140,1,-0.6359708905220032,36,both_train
numeric_adjacent,000140,00000143,3,-0.6373059749603271,36,both_train
numeric_adjacent,00000143,000146,3,0.35352250933647156,26,both_train
numeric_adjacent,000146,00000147,1,0.3485591411590576,27,both_train
numeric_adjacent,00000147,000152,5,0.7924856543540955,30,both_train
numeric_adjacent,000152,00000157,5,0.7861747741699219,30,both_train
numeric_adjacent,00000157,000157,0,0.8453859090805054,30,both_train
numeric_adjacent,000157,000162,5,0.49563854932785034,35,cross_split
numeric_adjacent,000162,00000163,1,0.557574987411499,37,both_val
numeric_adjacent,00000163,00000168,5,0.9963772892951965,5,cross_split
numeric_adjacent,00000168,00000171,3,0.999148964881897,1,both_train
numeric_adjacent,00000171,000173,2,0.2846500277519226,34,both_train
numeric_adjacent,000173,00000175,2,0.2748211920261383,36,cross_split
numeric_adjacent,00000175,00000177,2,0.9996600151062012,1,cross_split
numeric_adjacent,00000177,00000180,3,0.9993652105331421,2,cross_split
numeric_adjacent,00000180,000181,1,0.7304404973983765,25,both_val
numeric_adjacent,000181,000182,1,0.6928955316543579,19,cross_split
numeric_adjacent,000182,00000184,2,0.7029538154602051,19,cross_split
numeric_adjacent,00000184,000186,2,0.8545365929603577,21,cross_split
numeric_adjacent,000186,00000189,3,0.8545790314674377,21,both_train
numeric_adjacent,00000189,000190,1,0.04696749150753021,34,both_train
numeric_adjacent,000190,000195,5,0.4225805401802063,31,both_train
numeric_adjacent,000195,00000203,8,-0.15166956186294556,44,cross_split
numeric_adjacent,00000203,000203,0,-0.08983960002660751,33,cross_split
numeric_adjacent,000203,00000205,2,-0.09513705968856812,33,both_train
numeric_adjacent,00000205,000206,1,0.032583143562078476,31,both_train
numeric_adjacent,000206,00000207,1,0.036103371530771255,33,both_train
numeric_adjacent,00000207,00000212,5,0.3622698187828064,16,both_train
numeric_adjacent,00000212,00000214,2,0.9899320602416992,2,cross_split
numeric_adjacent,00000214,00000216,2,0.979596734046936,2,cross_split
numeric_adjacent,00000216,00000220,4,0.9892517328262329,2,both_train
numeric_adjacent,00000220,00000221,1,0.3734830915927887,16,both_train
numeric_adjacent,00000221,000224,3,0.6706452369689941,21,both_train
numeric_adjacent,000224,00000225,1,0.6705973148345947,20,both_train
numeric_adjacent,00000225,00000228,3,0.9995989799499512,3,both_train
numeric_adjacent,00000228,00000230,2,0.9996222853660583,2,both_train
numeric_adjacent,00000230,00000234,4,0.9993048906326294,1,both_train
numeric_adjacent,00000234,000234,0,0.5456182360649109,17,both_train
numeric_adjacent,000234,000235,1,0.7531651854515076,19,both_train
numeric_adjacent,000235,00000239,4,0.5320421457290649,25,cross_split
numeric_adjacent,00000239,000239,0,0.7440255880355835,17,cross_split
numeric_adjacent,000239,00000241,2,0.5203592777252197,40,both_train
numeric_adjacent,00000241,000242,1,0.35893285274505615,15,both_train
numeric_adjacent,000242,00000243,1,0.3588818907737732,14,cross_split
numeric_adjacent,00000243,00000244,1,0.9994882345199585,2,cross_split
numeric_adjacent,00000244,00000248,4,0.9976210594177246,5,cross_split
numeric_adjacent,00000248,00000253,5,0.9981805086135864,9,both_val
numeric_adjacent,00000253,00000257,4,0.9963091611862183,7,cross_split
numeric_adjacent,00000257,000259,2,-0.6071884632110596,22,both_train
numeric_adjacent,000259,000261,2,-0.13452479243278503,21,both_train
numeric_adjacent,000261,000266,5,0.4028385281562805,22,both_train
numeric_adjacent,000266,00000271,5,-0.34536874294281006,29,both_train
numeric_adjacent,00000271,00000273,2,0.9989131689071655,1,both_train
numeric_adjacent,00000273,00000275,2,0.999016523361206,2,both_train
numeric_adjacent,00000275,000279,4,0.1732490360736847,30,cross_split
numeric_adjacent,000279,000281,2,-0.1288798600435257,34,cross_split
numeric_adjacent,000281,00000282,1,0.44358760118484497,25,both_train
numeric_adjacent,00000282,000282,0,0.3464718759059906,23,both_train
numeric_adjacent,000282,000284,2,-0.1582985818386078,35,cross_split
numeric_adjacent,000284,000289,5,-0.14815519750118256,27,cross_split
numeric_adjacent,000289,00000291,2,0.319098562002182,31,both_train
numeric_adjacent,00000291,00000293,2,0.9960142374038696,2,both_train
numeric_adjacent,00000293,000295,2,0.3400513529777527,29,cross_split
numeric_adjacent,000295,000300,5,0.4262933135032654,16,cross_split
numeric_adjacent,000300,000301,1,-0.029562531039118767,27,cross_split
numeric_adjacent,000301,000303,2,0.6563892364501953,15,cross_split
numeric_adjacent,000303,000305,2,0.5148200988769531,32,both_train
numeric_adjacent,000305,000309,4,0.4732986390590668,35,both_train
numeric_adjacent,000309,000311,2,0.5595716238021851,33,both_train
numeric_adjacent,000311,000313,2,0.8345115184783936,30,both_train
numeric_adjacent,000313,00000321,8,-0.2170741856098175,28,both_train
numeric_adjacent,00000321,000323,2,0.2354486882686615,34,cross_split
numeric_adjacent,000323,000328,5,0.7928168773651123,29,cross_split
numeric_adjacent,000328,000329,1,0.8343992233276367,19,both_train
numeric_adjacent,000329,00000332,3,0.3093026578426361,35,both_train
numeric_adjacent,00000332,00000333,1,0.9997262358665466,0,both_train
numeric_adjacent,00000333,000333,0,0.4603550434112549,31,both_train
numeric_adjacent,000333,000336,3,0.8475959300994873,14,both_train
numeric_adjacent,000336,00000339,3,0.43848341703414917,31,cross_split
numeric_adjacent,00000339,000339,0,0.4576689600944519,31,cross_split
numeric_adjacent,000339,00000344,5,0.45752573013305664,31,both_train
numeric_adjacent,00000344,000345,1,-0.09063419699668884,35,both_train
numeric_adjacent,000345,00000346,1,-0.08667637407779694,35,both_train
numeric_adjacent,00000346,000347,1,-0.06317299604415894,37,both_train
numeric_adjacent,000347,000348,1,0.13626019656658173,26,both_train
numeric_adjacent,000348,000350,2,0.006151244044303894,34,cross_split
numeric_adjacent,000350,000353,3,0.18607403337955475,22,cross_split
numeric_adjacent,000353,00000355,2,-0.04602515324950218,32,both_train
numeric_adjacent,00000355,000355,0,-0.05647003650665283,29,both_train
numeric_adjacent,000355,000358,3,0.3455899953842163,24,both_train
numeric_adjacent,000358,000363,5,0.036705490201711655,31,both_train
numeric_adjacent,000363,00000364,1,0.259024053812027,33,both_train
numeric_adjacent,00000364,000366,2,0.19981983304023743,33,both_train
numeric_adjacent,000366,00000367,1,0.19923105835914612,32,both_train
