stem,group_id,group_type,group_size,split
000013_015_suppl_00000384,G0238,singleton,1,val
000013_016_00000001,G0239,singleton,1,train
000013_016_suppl_00000381,G0240,singleton,1,train
000013_017_00000001,G0241,filename_prefix,4,val
000013_017_00000063,G0241,filename_prefix,4,val
000013_017_00000125,G0241,filename_prefix,4,val
000013_017_00000187,G0241,filename_prefix,4,val
000013_021_00000083,G0242,singleton,1,train
000013_023_00000001,G0243,filename_prefix,3,val
000013_023_00000075,G0243,filename_prefix,3,val
000013_023_00000223,G0243,filename_prefix,3,val
000013_025_00000001,G0244,filename_prefix,2,train
000013_025_00000285,G0244,filename_prefix,2,train
000013_030_00000001,G0245,filename_prefix,3,train
000013_030_00000063,G0245,filename_prefix,3,train
000013_030_00000187,G0245,filename_prefix,3,train
000013_033_00000001,G0246,singleton,1,train
000013_034_00000001,G0247,filename_prefix,5,train
000013_034_00000069,G0247,filename_prefix,5,train
000013_034_00000137,G0247,filename_prefix,5,train
000013_034_00000205,G0247,filename_prefix,5,train
000013_034_00000273,G0247,filename_prefix,5,train
000013_036_00000208,G0248,singleton,1,val
000013_039_00000063,G0249,filename_prefix,2,train
000013_039_00000187,G0249,filename_prefix,2,train
000013_040_00000001,G0250,singleton,1,train
000013_040_suppl_00000167,G0251,filename_prefix,2,train
000013_040_suppl_00000333,G0251,filename_prefix,2,train
000013_044_00000001,G0252,singleton,1,train
000013_045_00000343,G0253,filename_prefix,2,train
000013_045_00000457,G0253,filename_prefix,2,train
000013_045_suppl_00000571,G0254,singleton,1,train
000013_046_00000001,G0255,filename_prefix,3,train
000013_046_00000135,G0255,filename_prefix,3,train
000013_046_00000202,G0255,filename_prefix,3,train
000013_047_00000223,G0256,singleton,1,train
000013_048_00000001,G0257,filename_prefix,2,train
000013_048_00000072,G0257,filename_prefix,2,train
000013_048_suppl_00000180,G0258,filename_prefix,2,val
000013_048_suppl_00000359,G0258,filename_prefix,2,val
000013_052_00000065,G0259,filename_prefix,2,val
000013_052_00000193,G0259,filename_prefix,2,val
000013_052_suppl_00000162,G0260,filename_prefix,2,train
000013_052_suppl_00000323,G0260,filename_prefix,2,train
000013_053_suppl_00000179,G0261,singleton,1,train
000013_055_00000001,G0262,filename_prefix,2,train
000013_055_00000241,G0262,filename_prefix,2,train
000013_055_suppl_00000300,G0263,singleton,1,train
000013_056_00000071,G0264,filename_prefix,2,val
000013_056_00000281,G0264,filename_prefix,2,val
000014_002_00000067,G0265,singleton,1,train
000014_002_suppl_00000167,G0266,singleton,1,train
000014_011_00000060,G0267,singleton,1,train
000014_012_00000217,G0268,singleton,1,train
000014_014_00000072,G0269,singleton,1,train
000014_014_suppl_00000356,G0270,singleton,1,train
000014_015_00000285,G0271,singleton,1,train
000014_016_00000001,G0272,singleton,1,train
000014_016_suppl_00000354,G0273,singleton,1,train
000014_018_00000143,G0274,singleton,1,train
000014_020_suppl_00000370,G0275,singleton,1,train
000014_022_00000069,G0276,singleton,1,train
000014_022_suppl_00000340,G0277,singleton,1,train
000014_023_00000208,G0278,filename_prefix,2,val
000014_023_00000277,G0278,filename_prefix,2,val
000014_023_suppl_00000174,G0279,filename_prefix,2,train
000014_023_suppl_00000346,G0279,filename_prefix,2,train
000014_024_00000071,G0280,singleton,1,train
000014_025_00000184,G0281,singleton,1,train
000014_025_suppl_00000308,G0282,singleton,1,val
000014_026_00000064,G0283,filename_prefix,3,val
000014_026_00000127,G0283,filename_prefix,3,val
000014_026_00000190,G0283,filename_prefix,3,val
000014_026_suppl_00000160,G0284,singleton,1,train
000014_032_00000068,G0285,singleton,1,train
000014_035_00000199,G0286,singleton,1,train
000014_037_00000271,G0287,singleton,1,val
000014_037_suppl_00000451,G0288,singleton,1,train
000014_045_suppl_00000390,G0289,singleton,1,train
000014_047_00000139,G0290,filename_prefix,2,val
000014_047_00000208,G0290,filename_prefix,2,val
000014_047_suppl_00000349,G0291,singleton,1,train
000014_049_suppl_00000180,G0292,singleton,1,train
000014_050_00000001,G0293,filename_prefix,3,train
000014_050_00000137,G0293,filename_prefix,3,train
000014_050_00000273,G0293,filename_prefix,3,train
000014_050_suppl_00000172,G0294,singleton,1,train
000014_051_suppl_00000171,G0295,filename_prefix,2,train
000014_051_suppl_00000341,G0295,filename_prefix,2,train
000014_052_00000001,G0296,filename_prefix,4,train
000014_052_00000131,G0296,filename_prefix,4,train
000014_052_00000196,G0296,filename_prefix,4,train
000014_052_00000261,G0296,filename_prefix,4,train
000014_052_suppl_00000164,G0297,singleton,1,val
000014_053_suppl_00000165,G0298,singleton,1,train
000014_060_00000001,G0299,filename_prefix,2,val
000014_060_00000205,G0299,filename_prefix,2,val
000014_062_00000001,G0300,singleton,1,train
000014_062_suppl_00000174,G0301,singleton,1,train
000014_064_00000001,G0302,filename_prefix,2,train
000014_064_00000135,G0302,filename_prefix,2,train
000014_069_suppl_00000350,G0303,singleton,1,val
000015_004_00000090,G0304,filename_prefix,3,train
000015_004_00000179,G0304,filename_prefix,3,train
000015_004_00000268,G0304,filename_prefix,3,train
000015_004_suppl_00000223,G0305,singleton,1,train
000015_008_00000001,G0306,singleton,1,train
000015_009_00000001,G0307,singleton,1,train
000016,G0308,singleton,1,train
000016_001_00000001,G0309,filename_prefix,4,train
000016_001_00000068,G0309,filename_prefix,4,train
000016_001_00000202,G0309,filename_prefix,4,train
000016_001_00000269,G0309,filename_prefix,4,train
000016_003_suppl_00000166,G0310,singleton,1,val
000016_006_00000001,G0311,filename_prefix,2,train
000016_006_00000253,G0311,filename_prefix,2,train
000016_008_00000133,G0312,filename_prefix,2,train
000016_008_00000265,G0312,filename_prefix,2,train
000016_008_suppl_00000331,G0313,singleton,1,train
000016_009_00000001,G0314,singleton,1,train
000016_015_00000129,G0315,singleton,1,train
000016_016_00000065,G0316,filename_prefix,3,val
000016_016_00000129,G0316,filename_prefix,3,val
000016_016_00000257,G0316,filename_prefix,3,val
000016_016_suppl_00000324,G0317,singleton,1,train
000016_021_00000001,G0318,filename_prefix,3,train
000016_021_00000125,G0318,filename_prefix,3,train
000016_021_00000249,G0318,filename_prefix,3,train
000016_021_suppl_00000156,G0319,filename_prefix,2,val
000016_021_suppl_00000310,G0319,filename_prefix,2,val
000016_023_00000001,G0320,filename_prefix,2,train
000016_023_00000143,G0320,filename_prefix,2,train
000016_024_suppl_00000180,G0321,singleton,1,train
000016_027_00000001,G0322,filename_prefix,2,train
000016_027_00000281,G0322,filename_prefix,2,train
000016_028_00000257,G0323,singleton,1,train
000016_030_00000069,G0324,singleton,1,train
000016_033_00000208,G0325,singleton,1,train
000016_034_00000067,G0326,filename_prefix,3,val
000016_034_00000199,G0326,filename_prefix,3,val
000016_034_00000265,G0326,filename_prefix,3,val
000016_034_suppl_00000330,G0327,singleton,1,val
000016_036_suppl_00000363,G0328,singleton,1,train
000016_039_00000190,G0329,singleton,1,train
000016_039_suppl_00000160,G0330,singleton,1,train
000016_042_00000261,G0331,singleton,1,val
000016_042_suppl_00000164,G0332,singleton,1,train
000016_043_00000117,G0333,singleton,1,train
000016_043_suppl_00000147,G0334,filename_prefix,2,train
000016_043_suppl_00000292,G0334,filename_prefix,2,train
000016_044_00000085,G0335,filename_prefix,3,train
000016_044_00000127,G0335,filename_prefix,3,train
000016_044_00000169,G0335,filename_prefix,3,train
000017_010_00000143,G0336,singleton,1,train
000017_011_00000297,G0337,singleton,1,train
000017_012_00000135,G0338,filename_prefix,2,train
000017_012_00000202,G0338,filename_prefix,2,train
000017_012_suppl_00000335,G0339,singleton,1,val
000017_015_00000001,G0340,singleton,1,train
000017_015_suppl_00000162,G0341,singleton,1,val
000017_018_suppl_00000233,G0342,singleton,1,train
000017_020_00000001,G0343,filename_prefix,2,train
000017_020_00000214,G0343,filename_prefix,2,train
000017_020_suppl_00000179,G0344,filename_prefix,2,train
000017_020_suppl_00000356,G0344,filename_prefix,2,train
000017_021_00000001,G0345,filename_prefix,2,train
000017_021_00000265,G0345,filename_prefix,2,train
000017_021_suppl_00000166,G0346,filename_prefix,2,train
000017_021_suppl_00000331,G0346,filename_prefix,2,train
000018_001_00000155,G0347,filename_prefix,2,train
000018_001_00000232,G0347,filename_prefix,2,train
000018_003_suppl_00000173,G0348,singleton,1,train
000018_004_00000155,G0349,filename_prefix,2,train
000018_004_00000232,G0349,filename_prefix,2,train
000018_006_00000063,G0350,filename_prefix,2,train
000018_006_00000187,G0350,filename_prefix,2,train
000018_007_00000001,G0351,filename_prefix,4,train
000018_007_00000139,G0351,filename_prefix,4,train
000018_007_00000208,G0351,filename_prefix,4,train
000018_007_00000277,G0351,filename_prefix,4,train
000018_008_00000001,G0352,filename_prefix,2,train
000018_008_00000261,G0352,filename_prefix,2,train
000019_003_00000139,G0353,singleton,1,train
000019_005_00000001,G0354,filename_prefix,3,val
000019_005_00000066,G0354,filename_prefix,3,val
000019_005_00000196,G0354,filename_prefix,3,val
000019_009_00000141,G0355,singleton,1,train
000019_014_00000001,G0356,singleton,1,train
000019_015_00000001,G0357,singleton,1,train
000019_016_00000052,G0358,filename_prefix,2,train
000019_016_00000154,G0358,filename_prefix,2,train
000019_017_00000001,G0359,singleton,1,train
000019_018_00000001,G0360,filename_prefix,3,train
000019_018_00000049,G0360,filename_prefix,3,train
000019_018_00000145,G0360,filename_prefix,3,train
000019_019_00000225,G0361,singleton,1,train
000019_027_00000141,G0362,singleton,1,train
000019_028_00000273,G0363,singleton,1,train
000019_029_00000205,G0364,singleton,1,val
000019_030_00000001,G0365,filename_prefix,3,train
000019_030_00000072,G0365,filename_prefix,3,train
000019_030_00000285,G0365,filename_prefix,3,train
000019_038_00000205,G0366,singleton,1,train
000019_039_00000277,G0367,singleton,1,train
000019_040_00000208,G0368,singleton,1,train
000019_041_00000141,G0369,singleton,1,train
000019_044_00000001,G0370,singleton,1,train
000019_045_00000145,G0371,singleton,1,train
000020_002_00000123,G0372,singleton,1,train
000020_003_00000253,G0373,singleton,1,train
000020_010_00000001,G0374,filename_prefix,4,train
000020_010_00000023,G0374,filename_prefix,4,train
000020_010_00000045,G0374,filename_prefix,4,train
000020_010_00000089,G0374,filename_prefix,4,train
000020_011_00000076,G0375,filename_prefix,2,val
000020_011_00000151,G0375,filename_prefix,2,val
000020_014_00000001,G0376,filename_prefix,3,val
000020_014_00000129,G0376,filename_prefix,3,val
000020_014_00000193,G0376,filename_prefix,3,val
000020_015_00000064,G0377,filename_prefix,3,train
000020_015_00000127,G0377,filename_prefix,3,train
000020_015_00000253,G0377,filename_prefix,3,train
000020_018_00000093,G0378,singleton,1,train
000021_001_00000133,G0379,filename_prefix,3,train
000021_001_00000199,G0379,filename_prefix,3,train
000021_001_00000265,G0379,filename_prefix,3,train
000021_003_00000001,G0380,filename_prefix,2,train
000021_003_00000091,G0380,filename_prefix,2,train
000021_004_00000065,G0381,filename_prefix,3,train
000021_004_00000129,G0381,filename_prefix,3,train
000021_004_00000193,G0381,filename_prefix,3,train
000021_006_00000208,G0382,singleton,1,train
000021_007_00000137,G0383,singleton,1,train
000021_014_00000066,G0384,filename_prefix,3,train
000021_014_00000131,G0384,filename_prefix,3,train
000021_014_00000261,G0384,filename_prefix,3,train
000021_015_00000001,G0385,singleton,1,train
000021_020_00000131,G0386,singleton,1,train
000021_021_00000028,G0387,filename_prefix,2,train
000021_021_00000109,G0387,filename_prefix,2,train
000021_024_00000085,G0388,singleton,1,train
000022_006_00000001,G0389,singleton,1,train
000022_008_00000001,G0390,singleton,1,train
000022_014_00000068,G0391,filename_prefix,2,train
000022_014_00000269,G0391,filename_prefix,2,train
000022_018_00000001,G0392,singleton,1,train
000023_001_00000001,G0393,filename_prefix,3,train
