"index","stem","object_count","preview","review_status","error_type","line_numbers","reviewer_notes"
"21","00000072","6","images\0021_00000072.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"22","00000084","6","images\0022_00000084.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"23","00000090","6","images\0023_00000090.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"24","00000093","6","images\0024_00000093.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"25","00000095","6","images\0025_00000095.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"26","00000098","6","images\0026_00000098.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"27","00000104","7","images\0027_00000104.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"28","00000106","7","images\0028_00000106.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"29","00000111","7","images\0029_00000111.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"30","00000118","7","images\0030_00000118.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"31","00000120","7","images\0031_00000120.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"32","00000122","7","images\0032_00000122.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"33","00000123","7","images\0033_00000123.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"34","00000129","2","images\0034_00000129.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"35","00000130","2","images\0035_00000130.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"36","00000136","2","images\0036_00000136.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"37","00000139","2","images\0037_00000139.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"38","00000143","2","images\0038_00000143.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"39","00000147","2","images\0039_00000147.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"40","00000157","2","images\0040_00000157.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"41","00000163","2","images\0041_00000163.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"42","00000168","3","images\0042_00000168.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"43","00000171","3","images\0043_00000171.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"44","00000175","3","images\0044_00000175.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"45","00000177","3","images\0045_00000177.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"46","00000180","3","images\0046_00000180.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"47","00000184","3","images\0047_00000184.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"48","00000189","3","images\0048_00000189.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"49","000002","6","images\0049_000002.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"50","00000203","3","images\0050_00000203.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"51","00000205","3","images\0051_00000205.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"52","00000207","3","images\0052_00000207.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"53","00000212","1","images\0053_00000212.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"54","00000214","1","images\0054_00000214.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"55","00000216","1","images\0055_00000216.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"56","00000220","1","images\0056_00000220.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"57","00000221","2","images\0057_00000221.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"58","00000225","2","images\0058_00000225.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"59","00000228","2","images\0059_00000228.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"60","00000230","2","images\0060_00000230.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"61","00000234","2","images\0061_00000234.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"62","00000239","1","images\0062_00000239.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"63","00000241","2","images\0063_00000241.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"64","00000243","1","images\0064_00000243.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"65","00000244","1","images\0065_00000244.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"66","00000248","1","images\0066_00000248.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"67","00000253","1","images\0067_00000253.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"68","00000257","1","images\0068_00000257.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"69","00000271","2","images\0069_00000271.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"70","00000273","2","images\0070_00000273.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"71","00000275","2","images\0071_00000275.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"72","00000282","1","images\0072_00000282.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"73","00000291","2","images\0073_00000291.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"74","00000293","2","images\0074_00000293.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"75","000002_080_00000048","2","images\0075_000002_080_00000048.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"76","000002_081_00000001","3","images\0076_000002_081_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"77","000002_081_00000047","4","images\0077_000002_081_00000047.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"78","000002_081_00000185","3","images\0078_000002_081_00000185.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"79","000002_082_00000061","4","images\0079_000002_082_00000061.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"80","000002_082_00000121","5","images\0080_000002_082_00000121.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"81","000002_083_00000001","3","images\0081_000002_083_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"82","000002_083_00000057","3","images\0082_000002_083_00000057.jpg","PASS","heavy_occlusion","3","L3为后方第二辆三轮车的可见货斗部分；同序列00000113和00000169持续出现两个tricycle实例，保留官方标签"
"83","000002_083_00000113","4","images\0083_000002_083_00000113.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"84","000002_083_00000169","5","images\0084_000002_083_00000169.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"85","00000321","4","images\0085_00000321.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"86","00000332","3","images\0086_00000332.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"87","00000333","2","images\0087_00000333.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"88","00000339","3","images\0088_00000339.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"89","00000344","1","images\0089_00000344.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"90","00000346","1","images\0090_00000346.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"91","00000355","3","images\0091_00000355.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"92","00000364","1","images\0092_00000364.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"93","00000367","1","images\0093_00000367.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"94","00000371","2","images\0094_00000371.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"95","00000373","4","images\0095_00000373.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"96","00000376","4","images\0096_00000376.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"97","00000394","1","images\0097_00000394.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"98","00000396","1","images\0098_00000396.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"99","00000399","1","images\0099_00000399.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"100","000003_002_00000060","5","images\0100_000003_002_00000060.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"101","000003_002_00000178","11","images\0101_000003_002_00000178.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"102","000003_013_00000085","3","images\0102_000003_013_00000085.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"103","000003_013_00000169","5","images\0103_000003_013_00000169.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"104","000003_014_00000001","3","images\0104_000003_014_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"105","000003_014_00000161","9","images\0105_000003_014_00000161.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"106","000003_015_00000001","7","images\0106_000003_015_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"107","000003_015_00000077","3","images\0107_000003_015_00000077.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"108","000003_018_00000167","2","images\0108_000003_018_00000167.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"109","000003_023_00000089","7","images\0109_000003_023_00000089.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"110","000003_026_00000001","3","images\0110_000003_026_00000001.jpg","FAIL_CLASS","class_mismatch","1","L1框住货车但类别为0 person；已在labels_clean中改为6 car，官方原始标签未修改"
"111","000003_028_00000325","4","images\0111_000003_028_00000325.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"112","000003_029_00000084","7","images\0112_000003_029_00000084.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"113","000003_029_00000333","3","images\0113_000003_029_00000333.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"114","000003_030_00000082","3","images\0114_000003_030_00000082.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"115","000003_035_00000001","9","images\0115_000003_035_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"116","000003_035_00000179","7","images\0116_000003_035_00000179.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"117","000003_051_00000365","5","images\0117_000003_051_00000365.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"118","000003_068_00000082","10","images\0118_000003_068_00000082.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"119","000003_069_00000088","2","images\0119_000003_069_00000088.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"120","000003_069_00000175","2","images\0120_000003_069_00000175.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"121","000003_080_00000307","8","images\0121_000003_080_00000307.jpg","PASS_WITH_CLEAN_FIX","invalid_bbox_size","8","人物真实；高度1.00093，使用边界裁剪后的派生框"
"122","000003_080_00000409","8","images\0122_000003_080_00000409.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"123","000003_081_00000171","12","images\0123_000003_081_00000171.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"124","000003_081_00000341","11","images\0124_000003_081_00000341.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"125","000004","4","images\0125_000004.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"126","00000401","4","images\0126_00000401.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"127","00000410","1","images\0127_00000410.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"128","00000414","1","images\0128_00000414.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"129","00000415","1","images\0129_00000415.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"130","00000417","2","images\0130_00000417.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"131","00000419","2","images\0131_00000419.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"132","00000423","2","images\0132_00000423.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"133","00000426","1","images\0133_00000426.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"134","00000433","1","images\0134_00000433.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"135","00000435","1","images\0135_00000435.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"136","00000440","1","images\0136_00000440.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"137","00000446","1","images\0137_00000446.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"138","00000447","1","images\0138_00000447.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"139","00000460","1","images\0139_00000460.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"140","00000462","1","images\0140_00000462.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"141","00000467","1","images\0141_00000467.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"142","00000480","1","images\0142_00000480.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"143","00000481","1","images\0143_00000481.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"144","00000485","1","images\0144_00000485.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"145","00000488","1","images\0145_00000488.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"146","00000490","1","images\0146_00000490.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"147","00000497","2","images\0147_00000497.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"148","00000499","2","images\0148_00000499.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"149","000004_001_00000087","1","images\0149_000004_001_00000087.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"150","000004_002_00000001","1","images\0150_000004_002_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"151","000004_002_00000084","2","images\0151_000004_002_00000084.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"152","000004_005_00000238","2","images\0152_000004_005_00000238.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"153","000004_009_00000001","2","images\0153_000004_009_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"154","000004_009_00000081","1","images\0154_000004_009_00000081.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"155","000004_009_00000321","1","images\0155_000004_009_00000321.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"156","000004_010_00000199","2","images\0156_000004_010_00000199.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"157","000004_011_00000001","2","images\0157_000004_011_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"158","000004_011_00000171","1","images\0158_000004_011_00000171.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"159","000004_012_00000001","6","images\0159_000004_012_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"160","000004_013_00000001","1","images\0160_000004_013_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"161","000004_013_00000081","2","images\0161_000004_013_00000081.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"162","000004_013_00000241","1","images\0162_000004_013_00000241.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"163","000004_014_00000001","1","images\0163_000004_014_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"164","000004_015_00000163","2","images\0164_000004_015_00000163.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"165","000004_018_00000341","12","images\0165_000004_018_00000341.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"166","000004_019_00000321","2","images\0166_000004_019_00000321.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"167","000004_034_00000079","2","images\0167_000004_034_00000079.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"168","000004_036_00000082","4","images\0168_000004_036_00000082.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"169","000004_036_00000244","3","images\0169_000004_036_00000244.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"170","000004_036_00000325","2","images\0170_000004_036_00000325.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"171","000005","5","images\0171_000005.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"172","00000501","2","images\0172_00000501.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"173","00000506","2","images\0173_00000506.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"174","00000508","2","images\0174_00000508.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"175","00000510","2","images\0175_00000510.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"176","00000512","2","images\0176_00000512.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"177","00000515","2","images\0177_00000515.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"178","00000519","2","images\0178_00000519.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"179","00000524","2","images\0179_00000524.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"180","00000526","2","images\0180_00000526.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"181","00000529","2","images\0181_00000529.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"182","00000535","2","images\0182_00000535.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"183","00000554","3","images\0183_00000554.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"184","00000556","3","images\0184_00000556.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"185","00000560","3","images\0185_00000560.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"186","00000572","4","images\0186_00000572.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"187","00000576","3","images\0187_00000576.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"188","00000577","3","images\0188_00000577.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"189","00000579","3","images\0189_00000579.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"190","00000585","3","images\0190_00000585.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"191","00000586","5","images\0191_00000586.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"192","00000592","6","images\0192_00000592.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"193","00000597","4","images\0193_00000597.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"194","00000599","7","images\0194_00000599.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"195","000005_003_00000181","6","images\0195_000005_003_00000181.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"196","000005_004_00000191","3","images\0196_000005_004_00000191.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"197","000005_004_00000286","5","images\0197_000005_004_00000286.jpg","PASS","top_label_occluded","5","L5为class 9 garbage_can，框内是带绿色标识的黑色垃圾桶；旧预览文字被顶部标题条遮挡，并非uav标签"
"198","000005_006_00000001","3","images\0198_000005_006_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"199","000005_010_00000001","1","images\0199_000005_010_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"200","000005_010_00000050","1","images\0200_000005_010_00000050.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"201","000005_011_00000421","10","images\0201_000005_011_00000421.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"202","000005_013_00000001","12","images\0202_000005_013_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"203","000005_014_00000292","6","images\0203_000005_014_00000292.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"204","000005_017_00000205","11","images\0204_000005_017_00000205.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"205","000005_017_00000307","13","images\0205_000005_017_00000307.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"206","000005_018_00000405","5","images\0206_000005_018_00000405.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"207","000005_019_00000105","6","images\0207_000005_019_00000105.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"208","000005_019_00000209","6","images\0208_000005_019_00000209.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"209","000005_019_00000313","8","images\0209_000005_019_00000313.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"210","000005_024_00000001","8","images\0210_000005_024_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"211","000005_026_00000001","5","images\0211_000005_026_00000001.jpg","FAIL_CLASS","class_mismatch","1-4","L1-L4均明确框住person却标为class 6 car；已在labels_clean中将L1-L4改为0 person，bbox坐标不变，官方原始标签未修改"
"212","000005_027_00000001","9","images\0212_000005_027_00000001.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"213","000005_027_00000247","8","images\0213_000005_027_00000247.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
